Row index,dmrs-TypeA-Position,PDSCH mapping type,K0,S,L
1,2,Type A,0,2,6
,3,Type A,0,3,5
2,2,Type A,0,2,10
,3,Type A,0,3,9
3,2,Type A,0,2,9
,3,Type A,0,3,8
4,2,Type A,0,2,7
,3,Type A,0,3,6
5,2,Type A,0,2,5
,3,Type A,0,3,4
6,2,Type B,0,6,4
,3,Type B,0,8,2
7,2,Type B,0,4,4
,3,Type B,0,6,4
8,"2,3",Type B,0,5,6
9,"2,3",Type B,0,5,2
10,"2,3",Type B,0,9,2
11,"2,3",Type B,0,10,2
12,"2,3",Type A,0,1,11
13,"2,3",Type A,0,1,6
14,"2,3",Type A,0,2,4
15,"2,3",Type B,0,4,6
16,"2,3",Type B,0,8,4
