MCS IndexIMCS,Modulation Order Qm,Target code Rate R x 1024,Spectralefficiency
0,q,60/q,0.0586
1,q,80/q,0.0781
2,q,100/q,0.0977
3,q,128/q,0.1250
4,q,156/q,0.1523
5,q,198/q,0.1934
6,2,120,0.2344
7,2,157,0.3066
8,2,193,0.3770
9,2,251,0.4902
10,2,308,0.6016
11,2,379,0.7402
12,2,449,0.8770
13,2,526,1.0273
14,2,602,1.1758
15,2,679,1.3262
16,4,378,1.4766
17,4,434,1.6953
18,4,490,1.9141
19,4,553,2.1602
20,4,616,2.4063
21,4,658,2.5703
22,4,699,2.7305
23,4,772,3.0156
24,6,567,3.3223
25,6,616,3.6094
26,6,666,3.9023
27,6,772,4.5234
28,q,reserved,
29,2,reserved,
30,4,reserved,
31,6,reserved,
