Row index,dmrs-TypeA-Position,PDSCH mapping type,K0,S,L
1,"2,3",Type B,0,2,2
2,"2,3",Type B,0,4,2
3,"2,3",Type B,0,6,2
4,"2,3",Type B,0,8,2
5,"2,3",Type B,0,10,2
6,"2,3",Type B,1,2,2
7,"2,3",Type B,1,4,2
8,"2,3",Type B,0,2,4
9,"2,3",Type B,0,4,4
10,"2,3",Type B,0,6,4
11,"2,3",Type B,0,8,4
12 (Note 1),"2,3",Type B,0,10,4
13 (Note 1),"2,3",Type B,0,2,7
14 (Note 1),2,Type A,0,2,12
,3,Type A,0,3,11
15,"2,3",Type B,1,2,4
16,Reserved,,,,
"Note 1:If the PDSCH was scheduled with SI-RNTI in PDCCH Type0 common search space, the UE may assume that this PDSCH resource allocation is not applied",,,,,
