Index,TBS,Index,TBS,Index,TBS,Index,TBS
1,24,31,336,61,1288,91,3624
2,32,32,352,62,1320,92,3752
3,40,33,368,63,1352,93,3824
4,48,34,384,64,1416,,
5,56,35,408,65,1480,,
6,64,36,432,66,1544,,
7,72,37,456,67,1608,,
8,80,38,480,68,1672,,
9,88,39,504,69,1736,,
10,96,40,528,70,1800,,
11,104,41,552,71,1864,,
12,112,42,576,72,1928,,
13,120,43,608,73,2024,,
14,128,44,640,74,2088,,
15,136,45,672,75,2152,,
16,144,46,704,76,2216,,
17,152,47,736,77,2280,,
18,160,48,768,78,2408,,
19,168,49,808,79,2472,,
20,176,50,848,80,2536,,
21,184,51,888,81,2600,,
22,192,52,928,82,2664,,
23,208,53,984,83,2728,,
24,224,54,1032,84,2792,,
25,240,55,1064,85,2856,,
26,256,56,1128,86,2976,,
27,272,57,1160,87,3104,,
28,288,58,1192,88,3240,,
29,304,59,1224,89,3368,,
30,320,60,1256,90,3496,,
