Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2",Two radio channels are used for this test. One for PCell and second for NR PSCell
Initial,Active PCell,,Cell 1,PCell on RF channel number 1.
,Neighbour cell,,"Cell2, Cell 3",Neighbour cells on RF channel number 2.
Final,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,active PSCell,,Cell 3,PSCell on RF channel number 2.
A4,Hysteresis,dB,0,Used to trigger conditional PSCell addition of Cell 2
,Threshold RSRP,dBm,-118,
,Time to Trigger,s,0,
A3,,dB,0,Used to trigger conditional PSCell change from Cell 2 to Cell 3
DRX,,,OFF,Continuous monitoring of primary cell
Measurement gap pattern Id,,,0,"Gaps are configured during T1, T2 and released upon T3 starts."
PRACH configuration on cell2 and cell3,,,FR1 PRACH configuration 1,Captured in clause A.3.8.2.1
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of cell2.
T1,,s,1,During this time the PCell is known and Cell 2 is unknown.
T2,,s,5,During this time Cell 2 meets the PSCell addition condition and UE adds this PSCell.
T3,,s,5,During this time Cell 3 meets the PSCell change condition and UE sends PRACH to Cell 3.
