Parameter,Unit,Config,Cell 1,Cell 2,,,,
,,,,T1,T2,,T3,T4
Frequency Range,,"1,2,3",FR1,,,,,
Duplex mode,,1,FDD,,,,,
,,"2,3",TDD,,,,,
TDD configuration,,1,Not Applicable,,,,,
,,2,TDDConf.1.1,,,,,
,,3,TDDConf.2.1,,,,,
BWchannel,MHz,"1,2","10: NPRB,c = 52",,,,,
,,3,"40: NPRB,c = 106",,,,,
Data PRBs allocated,,"1,2",52,,,,,
,,3,106,,,,,
Initial Downlink BWP configuration,,"1,2,3",DLBWP.0.1,,,,,
Initial Uplink BWP configuration,,"1,2,3",ULBWP.0.1,,,,,
Dedicated Downlink BWP configuration,,"1,2,3",DLBWP.1.1,,,,,
Dedicated Uplink BWP configuration,,"1,2,3",ULBWP.1.1,,,,,
PDSCH Reference Measurement Channel,,1,SR.1.1 FDD,,,,,
,,2,SR.1.1 TDD,,,,,
,,3,SR.2.1 TDD,,,,,
RMSI CORESET parameters,,1,CR.1.1 FDD,,,,,
,,2,CR.1.1 TDD,,,,,
,,3,CR.2.1 TDD,,,,,
Dedicated CORESET parameters,,1,CCR.1.1 FDD,,,,,
,,2,CCR.1.1 TDD,,,,,
,,3,CCR.2.1 TDD,,,,,
OCNG PatternsNote1,,"1,2,3",OP.1,,,,,
PDSCH/PDCCH subcarrier spacing,kHz,"1,2",15,,,,,
,,3,30,,,,,
SSB configuration,,"1,2",SSB.1 FR1,,,,,
,,3,SSB.2 FR1,,,,,
SMTC configuration,,"1,2,3",SMTC.1,,,,,
TRS Configuration,,1,TRS.1.1 FDD,,,,,
,,2,TRS.1.1 TDD,,,,,
,,3,TRS.1.2 TDD,,,,,
CSI-RS configuration for CSI reporting,,1,CSI-RS.1.1 FDD,,,,,
,,2,CSI-RS.1.1 TDD,,,,,
,,3,CSI-RS.2.1 TDD,,,,,
reportConfigType,,"1,2,3",periodic,,,,,
reportQuantity,,"1,2,3",cri-RI-PMI-CQI,,,,,
CSI reporting periodicity,slot,"1,2",5,,,,,
,,3,10,,,,,
CSI reporting offset,slot,"1,2",2,,,,,
,,3,4,,,,,
EPRE ratio of PSS to SSS,dB,"1,2,3",0,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,,,
Note2,dBm/15 kHz,"1,2,3",-100,N/A,,-85,,
Note2,dBm/SCS,"1,2",-100,N/A,,-85,,
,,3,-97,N/A,,-82,,
,,"1,2,3",12,-infinity,,0,,
,,"1,2,3",12,-infinity,,0,,
SS-RSRPNote3,dBm/SCS,"1,2",-88,-infinity,,-85,,
,,3,-85,-infinity,,-82,,
IoNote3,dBm/9.36 MHz,"1,2",-59.78,N/A,,-57,,
,dBm/38.1 MHz,3,-53.68,N/A,,-51,,
Propagation Condition,,"1,2,3",AWGN,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,,,,,
