Parameter,Unit,Test configuration,Cell 2,,,Cell 3,,
,,,T1,T2,T3,T1,T2,T3
Duplex mode,,Config 1,FDD,,,,,
BWchannel,MHz,Config 1,"3: NPRB,c = 15",,,,,
BWP BW,MHz,Config 1,"3: NPRB,c = 15",,,,,
PDSCH Reference measurement channel,,Config 1,SR.1.2 FDD,,,,,
RMSI CORESET Reference Channel,,Config 1,CR.1.2 FDD,,,,,
Dedicated CORESET Reference Channel,,Config 1,CCR.1.6 FDD,,,,,
SSB parameters,,Config 1,SSB.13 FR1,,,,,
IoNote1,dBm/2.7 MHz,Config 1,-75.45,-66.81,-62.46,-75.45,-66.81,-62.46
Propagation Condition,,Config 1,AWGN,,,AWGN,,
NOTE 1:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
