Parameter,Unit,Value,Comment
,,Test 1,
TDD Configuration,,TDDConf.2.4,A.3.1.4
SBFD configuration,,SBFD.2 FR1,A.3.41
RMSI CORESET Reference Channel,,CR.2.1 TDD,A.3.1.2
Dedicated CORESET Reference Channel,,CCR.2.1 TDD,A.3.1.3
SSB Configuration,,SSB.24 FR1,A.3.10.1
CSI-RS configuration for q0 and q1,,CSI-RS.2.2 TDD,A.3.14
CSI-RS configuration for CSI reporting,,CSI-RS.2.1 TDD,A.3.14
TRS configuration,,TRS.1.2 TDD,A.3.17.1
CSI-RS-Index assigned as RLM RS,,CSI-RS.2.2 TDD,A.3.14
T1,s,0.2,During this time the the UE shall be fully synchronized to Cell 1
T2,s,0.18,
T3,s,0.15,
T4,s,0,
T5,s,0.09,
D1,s,0.06,
NOTE 1:UE-specific PDCCH is not transmitted after T1 starts.,,,
