Parameter,,Unit,Configuration,Cell 1,,
,,,,T1,T2,T3
RF channel number,,,"1, 2, 3, 4, 5, 6",1,,
Duplex mode,,,"1, 4",FDD,,
,,,"2, 3, 5, 6",TDD,,
TDD Configuration,,,"2, 5",TDDConf.1.1,,
,,,"3, 6",TDDConf.2.1,,
BWchannel,,MHz,"1, 4","10: NPRB,c = 52 (FDD)",,
,,,"2, 5","10: NPRB,c = 52 (TDD)",,
,,,"3, 6","40: NPRB,c = 106 (TDD)",,
PDSCH reference measurement channel,,,"1, 4",SR.1.1 FDD,,
,,,"2, 5",SR.1.1 TDD,,
,,,"3, 6",SR.2.1 TDD,,
CORSET reference channel,,,"1, 4",CR.1.1 FDD,,
,,,"2, 5",CR.1.1 TDD,,
,,,"3, 6",CR.2.1 TDD,,
TRS configuration,,,"1, 4",TRS.1.1 FDD,,
,,,"2, 5",TRS.1.1 TDD,,
,,,"3, 6",TRS.1.2 TDD,,
OCNG patternNote1,,,"1, 2, 3, 4, 5, 6",OP.1,,
BWP,Initial DL BWP,,"1, 2, 3, 4, 5, 6",DLBWP.0.1,,
,Dedicated DL BWP,,,DLBWP.1.1,,
,Initial UL BWP,,,ULBWP.0.1,,
,Dedicated UL BWP,,,ULBWP.1.1,,
SMTC configuration,,,"1, 2, 3, 4, 5, 6",SMTC.1,,
SSB configuration,,,"1, 2, 4, 5",SSB.1 FR1,,
,,,"3, 6",SSB.2 FR1,,
b2-Threshold1,,dBm,"1, 2, 4, 5",-96,,
,,,"3, 6",-93,,
EPRE ratio of PSS to SSS,,dB,"1, 2, 3, 4, 5, 6",0,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,
NocNote2,,dBm/15 kHz,"1, 2, 3, 4, 5, 6",-100,-104,-100
NocNote2,,dBm/SCS,"1, 2, 4, 5",-100,-104,-100
,,,"3, 6",-97,-101,-97
Ês/Noc,,dB,"1, 2, 3, 4, 5, 6",12,0,0
Ês/IotNote3,,dB,"1, 2, 3, 4, 5, 6",12,0,0
SS-RSRPNote3,,dBm/SCS,"1, 2, 4, 5",-88,-104,-104
,,,"3, 6",-85,-101,-101
IoNote3,,dBm/9.36 MHz,"1, 2, 4, 5",-59.78,-73.04,-69.04
,,dBm/38.16 MHz,"3, 6",-53.68,-66.9448,-64.19
Propagation condition,,,"1, 2, 3, 4, 5, 6",AWGN,,
Antenna Configuration and Correlation Matrix,,,"1, 2, 3, 4, 5, 6",1x2 Low,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:Ês/Iot, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,
