Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
RF Channel Number,,1,,,2,,
Duplex mode,,FDD,,,SDL,,
UL initial BWP configuration,,ULBWP.0.1,,,N/A,,
UL dedicated BWP configuration,,ULBWP.1.1,,,N/A,,
PRACH Configuration,,Table A.3.8.2.1-1,,,N/A,,
SSB index assigned as RLM RS,,0,,,N/A,,
EPRE ratio of PDCCH DMRS to SSS,dB,4,,,4,,
EPRE ratio of PDCCH to PDCCH DMRS,dB,0,,,0,,
EPRE ratio of PBCH DMRS to SSS,dB,0,,,0,,
EPRE ratio of PBCH to PBCH DMRS,dB,,,,,,
EPRE ratio of PSS to SSS,dB,,,,,,
EPRE ratio of PDSCH DMRS to SSS,dB,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,dB,,,,,,
EPRE ratio of OCNG DMRS to SSS,dB,,,,,,
EPRE ratio of OCNG to OCNG DMRS,dB,,,,,,
SNR on RLM-RS,dB,1,-7,-15,N/A,,
,dBm/15kHz,-98,,,-98,,
,dBm/SCS,-98,,,-98,,
Propagation condition,,TDL-C 300 ns 100 Hz,,,TDL-C 300 ns 100 Hz,,
"NOTE 1:OCNG shall be used such that the resources in Cell 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The signal contains PDCCH for UEs other than the device under test as part of OCNG.NOTE 3:SNR levels correspond to the signal to noise ratio over the SSS REs.NOTE 4:The SNR in time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in Figure A.6.5.1.17.1-1.NOTE 5:The SNR values are specified for testing a UE which supports 2RX on at least one band. For testing of a UE which supports 4RX on all bands, the SNR during T3 is A.3.6.",,,,,,,
