Parameter,,Unit,Value,,,,Comment
,,,Test 1,Void,Test 2,Void,
Initial conditions,Active cell,,Cell 1,,,,
,Neighbouring cell,,Cell 2,,,,Cell 2 is the candidate cell
Final condition,Active cell,,Cell 2,,,,
A3-Offset,,dB,-6,,,,
Hysteresis,,dB,0,,,,
Time To Trigger,,s,0,,,,
Filter coefficient,,,0,,,,L3 filtering is not used
ltm3-Offset-r19,,dB,-6,,,,
hysteresis-r19,,dB,0,,,,
timeToTrigger-r19,,s,0,,,,
maxNrofRS-IndexesToReport,,,1,,,,
includeBeamMeasurements,,,True,,,,
DRX,,,OFF,,,,DRX is not used
Measurement gap pattern ID,,,gp0,,,,As specified in Table 9.1.2-1
Measurement gap offset,,,39,,,,
Access Barring Information,,-,Not Sent,,,,No additional delays in random access procedure.
Time offset between cells,,,2 s,,,,
ltm-DL-OrJointTCI-StateToAddModList,CandidateTCI-State#1,,DLorJoint TCI.State.0,,DLorJoint TCI.State.1,,"As specified in clause A.3.16B.As specified in clause A.3.16B.In Test 1, CandidateTCI-State#1 is configured for early TCI state activation. CandidateTCI-State#2 is selected by the UE.In Test 2, CandidateTCI-State#1 is selected by the UE."
,CandidateTCI-State#2,,DLorJoint TCI.State.1,,N/A,,
ltm-ConfigComplete,,,True,,,,Candidate cell’s configuration is complete configuration
T1,,s,<3,,,,
T2,,s,0.2,,,,
T3,,s,0.2,,,,
T4,,s,0.1,,,,
