Parameter,,Unit,Test configuration,Value,Comment
Initialcondition,Active Cell,,"1, 2, 3",Cell 1,The UE camps on Cell 1 in the initial phase
,Neighbour Cells,,"1, 2, 3",Cell 2,
T1 end condition,Active Cell,,"1, 2, 3",Cell 2,The UE shall fulfil the not-at-cell edge criterion and reselect to Cell 2 during T1 period during T1.
,Neighbour Cells,,"1, 2, 3",Cell 1,
T2 end condition,Active Cell,,"1, 2, 3",Cell 1,The UE shall perform reselection to Cell 1 during T2
,Neighbour Cells,,"1, 2, 3",Cell 2,
RF Channel Number,,,"1, 2, 3",1,
Time offset between Cells,,,1,3 ms,Asynchronous Cells
,,,2,3 s,Synchronous Cells
,,,3,3 s,Synchronous Cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
SSB configuration,,,1,SSB.1 FR1,
,,,2,SSB.1 FR1,
,,,3,SSB.2 FR1,
SMTC configuration,,,1,SMTC pattern 2,Configured in SIB2 of Cell 1
,,,,SMTC pattern 6,Configured in SIB2 of Cell 2
,,,2,SMTC pattern 1,
,,,3,SMTC pattern 1,
DRX cycle length,,s,"1, 2, 3",0.64,The value shall be used for all Cells in the test.
PRACH configuration index,,,"1, 2, 3",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3",Not configured,
T1,,s,"1, 2, 3",20,T1 needs to be defined so that Cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3",20,T2 needs to be defined so that Cell re-selection reaction time is taken into account.
