Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2, 3",Three radio channels are used for NR Cells for this test.
Initial,Active PCell,,Cell 1,PCell on RF channel number 1.
,Neighbour cell,,Cell 2,Neighbour cell on RF channel number 2.
,,,Cell 3,Neighbour cell on RF channel number 3.
Final,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,Active PSCell,,Cell 3,PSCell on RF channel number 3
,Neighbour Cell,,Cell 2,Neighbour cell on RF channel number 2
A4,Hysteresis,dB,0,Hysteresis for evaluation of event A1.
,Threshold RSRP,dBm,-118,A4 event is used to trigger conditional PSCell addition of Cell 2.
,Time to Trigger,s,0,
DRX,,,OFF,Continuous monitoring of primary cell
Measurement gap pattern Id,,,0,"Gaps are configured during T1, T2, T3 and T4."
PRACH configuration on cell2,,,FR1 PRACH configuration 1,Captured in clause A.3.8.2.1
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of Cell 2.
Cell-individual offset for cells on RF channel number 3,,dB,0,Individual offset for cells on carrier frequency of Cell 3.
T1,,s,1,"During this time the PCell is known, PSCell 1 and PSCell 2 are unknown."
T2,,s,7,During this time PSCell 1 meets the PSCell addition condition and UE adds this PSCell.
T3,,s,1,During this time the UE releases the PSCell 1.
T4,,s,7,During this time PSCell 2 meets the addition condition and UE adds this PSCell.
