Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3",Cell 2,"The UE camps on Cell 2 in the initial phase, it fulfills Not-at-cell edge relaxation measurements criterion, and during T1 period the UE reselects to Cell 1"
,Neighbour cells,,"1, 2, 3",Cell 1,
T1 end condition,Active cell,,"1, 2, 3",Cell 1,The UE shall perform reselection to Cell 1 during T1
,Neighbour cells,,"1, 2, 3",Cell 2,
T2 end condition,Active cell,,"1, 2, 3",Cell 2,The UE shall perform reselection to Cell 2 with higher priority during T2
,Neighbour cells,,"1, 2, 3",Cell 1,
RF Channel Number,,,"1, 2, 3","1, 2",
Time offset between cells,,,1,3 ms,Asynchronous cells
,,,2,3 s,Synchronous cells
,,,3,3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
,,,1,SSB.1 FR1,
SSB Configuration,,,2,SSB.1 FR1,
,,,3,SSB.2 FR1,
SMTC configuration,,,1,SMTC pattern 2,Configured in SIB4 of Cell 1
,,,,SMTC pattern 6,Configured in SIB4 of Cell 2
,,,2,SMTC pattern 1,
,,,3,SMTC pattern 1,
DRX cycle length,,s,"1, 2, 3",0.64,The value shall be used for all cells in the test.
PRACH configuration index,,,"1, 2, 3",102,The detailed configuration is specified in TS 38.211 [6] clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3",Not configured,
T1,,s,"1, 2, 3",20 s,T1 is defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3",20 s,T2 is defined so that cell re-selection reaction time is taken into account.
