Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2",Two NR FR1 radio channels are used in this test.
Initial Condition,Active PCell,,Cell 1,PCell on RF channel number 1.
,Neighbour cell,,Cell 2,Neighbour cell on RF channel number 2.
Final Condition,Active PCell,,Cell 1,PCell on RF channel number 1.
,Neighbour Cell,,Cell 2,PSCell released on RF channel number 2.
DRX,,,OFF,Continuous monitoring of primary cell
PRACH configuration on Cell 2,,,FR1 PRACH configuration 1,Captured in clause A.3.8.2.1
CSI reporting periodicity and offset configuration for Cell 2,,ms,2,
T1,,s,5,During this time the PCell shall be known and Cell 2 shall be unknown.
T2,,s,0.5,During this time the UE adds the PSCell.
T3,,s,0.5,During this time the UE sends CSI reports for PSCell.
T4,,s,0.5,During this time the UE releases the PSCell.
