Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,10 s,Asynchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
T4,,ms,10 + Tinterrupt2,Tinterrupt2 is defined in clause 6.1.3.2.2 Table 6.1.3.2.2-5
T5,,ms,100,
