Parameter,Unit,Test configuration,Cell 1,Cell 2
,,,T1,T1
TDD configuration,,1,N/A,N/A
,,2,TDDConf.1.1,TDDConf.1.1
,,3,TDDConf.2.1,TDDConf.2.1
PDSCH RMC,,1,SR.1.1 FDD,SR.1.1 FDD
configuration,,2,SR.1.1 TDD,SR.1.1 TDD
,,3,SR.2.1 TDD,SR.2.1 TDD
RMSI CORESET,,1,CR.1.1 FDD,CR.1.1 FDD
RMC configuration,,2,CR.1.1 TDD,CR.1.1 TDD
,,3,CR.2.1 TDD,CR.2.1 TDD
Dedicated CORESET,,1,CCR.1.1 FDD,CCR.1.1 FDD
RMC configuration,,2,CCR.1.1 TDD,CCR.1.1 TDD
,,3,CCR.2.1 TDD,CCR.2.1 TDD
OCNG Pattern,,"1, 2, 3",OP.1 defined in clause A.3.2.1,OP.1 defined in clause A.3.2.1
Initial DL BWP configuration,,"1, 2, 3",DLBWP.0.1,DLBWP.0.1
Initial UL BWP configuration,,"1, 2, 3",ULBWP.0.1,ULBWP.0.1
Qrxlevmin,dBm/SCS,"1, 2",-130,-130
,,3,-127,-127
Pcompensation,dB,"1, 2, 3",0,0
Qhysts,dB,"1, 2, 3",0,0
"Qoffsets, n",dB,"1, 2, 3",0,0
Cell_selection_and_reselection_quality_measurement,,"1, 2, 3",SS-RSRP,SS-RSRP
,dB,1,14,12
,,2,,
,,3,,
Note2,dBm/SCS,1,-98,
,,2,-98,
,,3,-95,
Note2,dBm/15 kHz,1,-98,
,,2,,
,,3,,
,dB,1,14,12
,,2,,
,,3,,
SS-RSRP Note3,dBm/SCS,1,-84,-86
,,2,-84,-86
,,3,-81,-83
Io,dBm/9.36 MHz,1,-55.88,-57.78
,dBm/9.36 MHz,2,-55.88,-57.78
,dBm/38.16 MHz,3,-49.79,-51.69
Treselection,s,"1, 2, 3",0,0
SintrasearchP,dB,"1, 2, 3",60,60
SnonintrasearchP,dB,"1, 2, 3",50,50
"Threshx, highP",dB,"1, 2, 3",48,48
"Threshserving, lowP",dB,"1, 2, 3",44,44
Propagation Condition,,"1, 2, 3",AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
