Parameter,,,Unit,Cell 1,,,Cell 2,,,Cell 3,,
,,,,T1~T2,T3~T5,T6,T1~T2,T3~T5,T6,T1~T2,T3~T5,T6
NR RF Channel Number,,,,1,,,1,,,1,,
Duplex mode,,Config 1,,FDD,,,,,,,,
,,"Config 2,3",,TDD,,,,,,,,
TDD configuration,,Config 1,,Not Applicable,,,,,,,,
,,Config 2,,TDDConf.1.1,,,,,,,,
,,Config 3,,TDDConf.2.1,,,,,,,,
BWchannel,,Config 1,MHz,"10: NPRB,c = 52",,,,,,,,
,,Config 2,,"10: NPRB,c = 52",,,,,,,,
,,Config 3,,"40: NPRB,c = 106",,,,,,,,
BWP BW,,Config 1,MHz,"10: NPRB,c = 52",,,,,,,,
,,Config 2,,"10: NPRB,c = 52",,,,,,,,
,,Config 3,,"40: NPRB,c = 106",,,,,,,,
DRX Cycle,,,Ms,Not Applicable,,,,,,,,
PDSCH Reference,,Config 1,,SR.1.1 FDD,,,,,,,,
measurement channel,,Config 2,,SR.1.1 TDD,,,,,,,,
,,Config 3,,SR.2.1 TDD,,,,,,,,
CORESET Reference Channel,,Config 1,,CR.1.1 FDD,,,,,,,,
,,Config 2,,CR.1.1 TDD,,,,,,,,
,,Config 3,,CR2.1 TDD,,,,,,,,
TRS configuration,,Config 1,,TRS.1.1 FDD,,,,,,,,
,,Config 2,,TRS.1.1 TDD,,,,,,,,
,,Config 3,,TRS.1.2 TDD,,,,,,,,
OCNG Patterns,,,,OP.1,,,,,,,,
SMTC Configuration,,,,SMTC.1,,,,,,,,
SSB Configuration,,"Config 1,2",,SSB.1 FR1,,,,,,,,
,,Config 3,,SSB.2 FR1,,,,,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2",kHz,15,,,,,,,,
,,Config 3,,30,,,,,,,,
PUCCH/PUSCH subcarrier spacing,,"Config 1,2",kHz,15,,,,,,,,
,,Config 3,,30,,,,,,,,
PRACH configuration,,,,FR1 PRACH configuration 6,,,,,,,,
BWP configuration,,Initial DL BWP,,DLBWP.0.1,,,,,,,,
,,Dedicated DL BWP,,DLBWP.1.1,,,,,,,,
,,Initial UL BWP,,ULBWP.0.1,,,,,,,,
,,Dedicated UL BWP,,ULBWP.1.1,,,,,,,,
EPRE ratio of PSS to SSS,,,dB,0,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,,
Note2,,,dBm/15kHz,-98,,,,,,,,
Note2,"Config 1,2",,dBm/SCS,-98,,,,,,,,
,Config 3,,,-95,,,,,,,,
,,,dB,8,-3.3,-3.3,-Infinity,2.36,2.36,-Infinity,-Infinity,>2.36
,,,dB,8,8,8,-Infinity,11,11,-Infinity,-Infinity,>11
SSB_RP,"Config 1,2",,dBm/SCS,-90,-90,-90,-Infinity,-87,-87,-Infinity,-Infinity,>-87
,Config 3,,dBm/SCS,-87,-87,-87,-Infinity,-84,-84,-Infinity,-Infinity,>-84
IoNote3,"Config 1,2",,dBm/9.36 MHz,-61.41,-57.06,-57.06,-61.41,-57.06,-57.06,-61.41,-61.41,-57.06
,Config 3,,dBm/38.16 MHz,-55.31,-50.96,-50.96,-55.31,-50.96,-50.96,-55.31,-55.31,-50.96
Propagation condition,,,-,AWGN,,,AWGN,,,AWGN,,
"NOTE 1:OCNG shall be used such that cells are fully allocated, and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,,,,,,
