Parameter,Unit,Config,Test,,,,
,,,T1,,T2,T3,T4
NR RF Channel Number,,"1,2,3,4,5,6",1,,,,
NR RF Channel Number,,"1,2,3,4,5,6",1,,,,
TDD,,"1,4",Not Applicable,,,,
configuration,,"2,5",TDDConf.1.1,,,,
,,"3,6",TDDConf.2.1,,,,
BWchannel,MHz,"1,4","10: NPRB,c = 52",,,,
,,"2,5","10: NPRB,c = 52",,,,
,,"3,6","40: NPRB,c = 106",,,,
Initial BWP Configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,,,,
Dedicated BWP Configuration,,"1,2,3",DLBWP.1.1ULBWP.1.1,,,,
PDSCH Reference,,"1,4",SR.1.1 FDD,,,,
measurement,,"2,5",SR.1.1 TDD,,,,
channel,,"3,6",SR.2.1 TDD,,,,
RMSI CORESET Reference,,"1,4",CR.1.1 FDD,,,,
Channel,,"2,5",CR.1.1 TDD,,,,
,,"3,6",CR.2.1 TDD,,,,
Dedicated CORESET Reference,,"1,4",CCR.1.1 FDD,,,,
Channel,,"2,5",CCR.1.1 TDD,,,,
,,"3,6",CCR.2.1 TDD,,,,
OCNG Patterns,,"1,2,3,4,5,6",OP.1,,,,
SSB configuration,,"1,2,4,5",SSB.1 FR1,,,,
,,"3,6",SSB.2 FR1,,,,
SMTC configuration,,"1,2,4,5",SMTC.1,,,,
,,"3,6",SMTC.1,,,,
TRS Configuration,,"1,4",TRS.1.1 FDD,,,,
,,"2,5",TRS.1.1 TDD,,,,
,,"3,6",TRS.1.2 TDD,,,,
CSI-RS configuration for CSI reporting,,"1,4",CSI-RS.1.1 FDD,,,,
,,"2,5",CSI-RS.1.1 TDD,,,,
,,"3,6",CSI-RS.2.1 TDD,,,,
reportConfigType,,"1,2,3,4,5,6",periodic,,,,
reportQuantity,,"1,2,3,4,5,6",cri-RI-PMI-CQI,,,,
CSI reporting periodicity,slot,"1,2,4,5",5,,,,
,,"3,6",10,,,,
CSI reporting offset,slot,"1,2,4,5",2,,,,
,,"3,6",4,,,,
EPRE ratio of PSS to SSS,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,dB,"1,2,3,4,5,6",0,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,dBm/15 kHz,"1,2,3,4,5,6",N/A,-85,,,
Note2,dBm/SCS,"1,2,4,5",N/A,-85,,,
,,"3,6",N/A,-82,,,
,,"1,2,3,4,5,6",-infinity,0,,,
,,"1,2,3,4,5,6",-infinity,0,,,
SS-RSRPNote3,dBm/SCS,"1,2,4,5",-infinity,-85,,,
,,"3,6",-infinity,-82,,,
IoNote3,dBm/9.36 MHz,"1,2,4,5",N/A,-57,,,
,dBm/38.1 MHz,"3,6",N/A,-51,,,
Propagation condition,,"1,2,3,4,5,6",AWGN,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,,,,
