Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
A3-Offset,,dB,-4,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,"Config 1,2,4,5",ms,0.5,Asynchronous cells
,"Config3,6,7,8,9",ms,0.25,
DRX,,,OFF,
Measurement gap pattern Id,,,#0,Gaps are configured before T2.
T1,,s,5,
T2,,s,<5,
T3,,s,<0.5,
T4,,ms,10+Tinterrupt2,Tinterrupt2 as defined in Table 6.1.3.2.2-7 for asynchronous DAPS HO.
T5,,ms,100,
