Parameter,Unit,Test configuration,Value,Comment
TDD Configuration,,1,N/A,
,,2,TDDConf.1.1,
,,3,TDDConf.2.1,
BWchannel,MHz,"1,2","10: NPRB,c = 52",
,,3,"40: NPRB,c = 106",
PDSCH Reference measurement channel,,1,SR.1.1 FDD,
,,2,SR.1.1 TDD,
,,3,SR.2.1 TDD,
RMSI CORESET Reference Channel,,1,CR.1.1 FDD,
,,2,CR.1.1 TDD,
,,3,CR.2.1 TDD,
Dedicated CORESET Reference Channel,,1,CCR.1.1 FDD,
,,2,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,
SSB configuration,,"1,2",SSB.1 FR1,
,,3,SSB.2 FR1,
OCNG Patterns,,"1,2,3",OP.1,
Initial BWP Configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,
Dedicated BWP configuration,,"1,2,3",DLBWP.1.1ULBWP.1.1,
SMTC configuration,,"1,2,3",SMTC.1,
DRX configuration,ms,"1,2,3",640,
T1,s,"1,2,3",0.4,
T2,s,"1,2,3",1.28,
T3,s,"1,2,3",2.72,
T4,s,"1,2,3",1.5,
T5,s,"1,2,3",1.68,
T6,s,"1,2,3",4.22,
cg-SDT-RSRP-ChangeThreshold,dB,"1,2,3",8,
cg-SDT-RSRP-ThresholdSSB,dBm,"1,2,3",-110 dB,
cg-SDT-TimeAlignmentTime,,"1,2,3",infinity,
CG-SDT resource period,ms,,320,"configuredGrantConfig Peridocity at 38.331Config 1,2 : sym320x14, config 3 : sym640x14"
Propagation condition,,"1,2,3",AWGN,
