Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
A3-Offset in condition,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
PRACH configuration index,,,FR1 PRACH configuration 1,As specified in table 6.3.3.2-3 in TS 38.211 [6]
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,2,
