Parameter,Unit,Value,Comment
NR RF Channel Number,,"1, 2",Two NR radio channels are used for this test
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Inter-frequency neighbor cell (SCell to-be),,Cell 2,Inter-frequency neighbor cell on NR RF channel number 2
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
Measurement gap pattern,,gp0,Measurement gap is used during parts of time period T5 for detection of Cell 2.
SCell measurement cycle (measCycleSCell),ms,160,Measurement cycle for SCell does not come into effect in direct activation at SCell addition.
Timing offset between Cell 1 and Cell 2,s,MRTD,The value of maximum timing offset depends upon the carrier aggregation scenario.
T1,s,10,During this time UE connects to PCell and early measurement report on the carrier frequency of Cell 2 is configured.
T2,s,30,During this time UE is in RRC_IDLE state and Cell 2 becomes detectable.
T3,s,5,During this time UE determines the validity of reported idle/inactive and reselection measurements.
T4,s,1,During this time UE shall send a measurement report with SSB index of Cell 2 to the PCell.
T5,s,5,During this time SCell (Cell 2) is configured via RRC signalling and the UE completes the activation of SCell (Cell 2)
measIdleValidityDuration-r18,s,5,Applicable and configured when UE supporting measValidationReportEMR-r18 is tested in this test.
measReselectionValidityDuration-r18,s,5,Applicable and configured when UE supporting measValidationReportReselectionMeasurements is tested in this test.
measIdleDuration-r16,s,60,Value for timer T331 for UE performing idle/inactive measurements while in RRC_IDLE or RRC_INACTIVE.
A3-offset,dB,-15,
THARQ,ms,k1×NR slot length,"k1 is a number of slots indicated by the PDSCH-to-HARQ_feedback timing indicator field in a corresponding DCI format or provided by dl-DataToUL-ACK if the PDSCH-to-HARQ feedback timing field is not present in the DCI format, the value is defined in 38.213 [3]"
TCSI_Reporting,ms,2,the delay uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]
k,ms,,As specified in clause 4.3 of TS 38.213 [3]
