Parameter,,,Unit,Value,Comment
NR RF Channel Number,,,,"1, 3",2 NR carrier frequency is used in the test
LTE RF Channel Number,,,,2,1 E-UTRAN carrier frequency is used in the test
Initial conditions,Active cell,,,Cell 1,NR cell
,Neighbouring cell,,,"Cell 2, 3",E-UTRAN cell and NR cell in FR1
Final condition,Active Pcell,,,Cell 2,E-UTRAN cell
,Active PSCell,,,Cell 3,NR cell in FR1
NR measurement quantity,,,,SS-RSRP,
E-UTRAN measurement quantity,,,,RSRP,
Event A3,,Hysteresis,dB,0,Hysteresis for evaluation of event B1.
,,A3-Offset,dB,0,.
,,Time to Trigger,S,0,
Event B2,,Threshold1,dBm,As specified in Table A.6.3.1.14-3,Absolute NR SS-RSRP threshold for event B2
,,Threshold2EUTRAN,dBm,-98,Absolute E-UTRAN RSRP threshold for event B2
,,Hysteresis,dB,0,
,,TimeToTrigger,s,0,
Filter coefficient,,,,0,L3 filtering is not used
DRX,,,,OFF,Non-DRX test
Access Barring Information,,,-,Not sent,No additional delays in random access procedure
Time offset between cell 1 and cell 2,,,,3 ms,Asynchronous cells
Measurement Gap pattern ID,,,,0,As specified in Table 9.1.2-1
T1,,,s,1,During this time only Cell 1 is known to UE.
T2,,,s,5,"During this time the UE shall identify Cell 2 and report event B2, and identify Cell 3 and report event B1."
T3,,,s,1,During this time the UE handovers to Cell 2.
T3’,,,s,0.5,During this time the UE adds the PSCell (Cell 3).
T4’,,,s,0.5,During this time the UE sends CSI reports for PSCell (Cell 3).
