Parameter,,Unit,Configuration,Cell 1,,
,,,,T1,T2,T3
RF channel number,,,"1, 2, 3",1,,
Duplex mode,,,1,FDD,,
,,,"2, 3",TDD,,
TDD Configuration,,,2,TDDConf.1.1,,
,,,3,TDDConf.2.1,,
BWchannel,,MHz,1,"10: NPRB,c = 52 (FDD)",,
,,,2,"10: NPRB,c = 52 (TDD)",,
,,,3,"40: NPRB,c = 106 (TDD)",,
PDSCH reference measurement channel,,,1,SR.1.1 FDD,,
,,,2,SR.1.1 TDD,,
,,,3,SR.2.1 TDD,,
CORSET reference channel,,,1,CR.1.1 FDD,,
,,,2,CR.1.1 TDD,,
,,,3,CR.2.1 TDD,,
TRS configuration,,,1,TRS.1.1 FDD,,
,,,2,TRS.1.1 TDD,,
,,,3,TRS.1.2 TDD,,
OCNG patternNote1,,,"1, 2, 3",OP.1,,
BWP,Initial DL BWP,,"1, 2, 3",DLBWP.0.1,,
,Dedicated DL BWP,,,DLBWP.1.1,,
,Initial UL BWP,,,ULBWP.0.1,,
,Dedicated UL BWP,,,ULBWP.1.1,,
SMTC configuration,,,"1, 2, 3",SMTC.1,,
SSB configuration,,,"1, 2",SSB.1 FR1,,
,,,3,SSB.2 FR1,,
b2-Threshold1,,dBm,"1, 2",-96,,
,,,3,-93,,
EPRE ratio of PSS to SSS,,dB,"1, 2, 3",0,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,
NocNote2,,dBm/15 kHz,"1, 2, 3",-100,,
NocNote2,,dBm/SCS,"1, 2,",-100,,
,,,3,-97,,
Ês/Noc,,dB,"1, 2, 3",12,-4,-4
Ês/IotNote3,,dB,"1, 2, 3",12,-4,-4
SS-RSRPNote3,,dBm/SCS,"1, 2",-88,-104,-104
,,,3,-85,-101,-101
IoNote3,,dBm/9.36 MHz,"1, 2",-59.78,-70.59,-70.59
,,dBm/38.16 MHz,3,-53.68,-64.49,-64.49
Propagation condition,,,"1, 2, 3",AWGN,,
Antenna Configuration and Correlation Matrix,,,"1, 2, 3",1x2 Low,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:Ês/Iot, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,
