Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3, 4, 5, 6",Cell 1,The UE camps on Cell 1 in the initial phase and fulfill the not at the cell edge criteria.
,Neighbour cells,,"1, 2, 3, 4, 5, 6",Cell 2,
T1 end condition,Active cell,,"1, 2, 3, 4, 5, 6",Cell 2,The UE shall perform reselection to Cell 2 during T1.
,Neighbour cells,,"1, 2, 3, 4, 5, 6",Cell 1,
T2 end condition,Active cell,,"1, 2, 3, 4, 5, 6",Cell 1,The UE shall perform reselection to Cell 1 during T2 for iteration of the tests.
,Neighbour cells,,"1, 2, 3, 4, 5, 6",Cell 2,
Access Barring Information,,-,"1, 2, 3, 4, 5, 6",Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,"1, 2, 3, 4, 5, 6",0.64,The value shall be used for all cells in the test.
NR PRACH configuration index,,,"1, 2, 3, 4, 5, 6",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
E-UTRAN PRACH configuration index,,,"1, 2, 3",53,As specified in table 5.7.1-2 in TS 36.211 [23]
,,,"4, 5, 6",4,
T1,,s,"1, 2, 3, 4, 5, 6",24,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3, 4, 5, 6",24,T2 needs to be defined so that cell re-selection reaction time is taken into account.
