Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3",Cell 2,The UE camps on Cell 2 in the initial phase and during T1 period the UE reselects to Cell 1
,Neighbour cell,,"1, 2, 3",Cell 1,
T1 end condition,Active cell,,"1, 2, 3",Cell 1,The UE shall perform reselection to Cell 1 during T1
,Neighbour cells,,"1, 2, 3",Cell 2,
T3 end condition,Active cell,,"1, 2, 3",Cell 2,The UE shall perform reselection to Cell 2 during T3
,Neighbour cell,,"1, 2, 3",Cell 1,
RF Channel Number,,,"1, 2, 3","1, 2",
Time offset between cells,,,1,3 ms,Asynchronous cells
,,,2,3 s,Synchronous cells
,,,3,3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
SSB configuration,,,1,SSB.1 FR1,
,,,2,SSB.1 FR1,
,,,3,SSB.2 FR1,
SMTC configuration,,,1,SMTC.2,
,,,2,SMTC.1,
,,,3,SMTC.1,
DRX cycle length,,s,"1, 2, 3",0.32,The value shall be used for all cells in the test.
PRACH configuration index,,,"1, 2, 3",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3",Not configured,
T1,,s,"1, 2, 3",10,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3",>7,"During T2, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T3."
T3,,s,"1, 2, 3",12,T3 needs to be defined so that cell re-selection reaction time is taken into account.
