Parameter,,Unit,Value,Comment
NR RF Channel Number,,,1,1 NR carrier frequency is used in the test
UTRA RF Channel Number,,,2,1 UTRAN carrier frequency is used in the test
Initial conditions,Active cell,,Cell 1,NR cell
,Neighbouring cell,,Cell 2,UTRAN cell
Final condition,Active cell,,Cell 2,
NR measurement quantity,,,SS-RSRP,
Inter-RAT (UTRAN FDD) measurement quantity,,,CPICH Ec/N0,
b2-Threshold1,,dBm,As specified in Table A.6.3.1.6-3,Absolute NR SS-RSRP threshold for event B2
b2-Threshold2UTRA-FDD,,dB,-18,Absolute UTRAN CPICH Ec/Io threshold for event B2
Hysteresis,,dB,0,
TimeToTrigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,Non-DRX test
Access Barring Information,,-,Not sent,No additional delays in random access procedure
Time offset between cells,,,3 ms,Asynchronous cells
Gap pattern configuration Id,,,0,As specified in Table 9.1.2-1 started before T2 starts
T1,,s,5,
T2,,s,5,
T3,,s,1,
