Parameter,,Unit,Cell 1,,Cell 2,
,,,T1,T2 - T5,T1,T2 - T5
NR RF Channel Number,,,1,,1,
Duplex mode,Config 1,,FDD,,,
,"Config 2,3",,TDD,,,
TDD configuration,Config 1,,Not Applicable,,,
,Config 2,,TDDConf.1.1,,,
,Config 3,,TDDConf.2.1,,,
BWchannel,"Config 1,2",MHz,"10: NPRB,c = 52",,,
,Config 3,,"40: NPRB,c = 106",,,
BWP BW,"Config 1,2",MHz,"10: NPRB,c = 52",,,
,Config 3,,"40: NPRB,c = 106",,,
DRX Cycle,,ms,Not Applicable,,,
PDSCH Reference,Config 1,,SR.1.1 FDD,,,
measurement channel,Config 2,,SR.1.1 TDD,,,
,Config 3,,SR.2.1 TDD,,,
CORESET Reference,Config 1,,CR.1.1 FDD,,,
Channel,Config 2,,CR.1.1 TDD,,,
,Config 3,,CR.2.1 FDD,,,
TRS configuration,Config 1,,TRS.1.1 FDD,,,
,Config 2,,TRS.1.1 TDD,,,
,Config 3,,TRS.1.2 TDD,,,
OCNG Patterns,,,OP.1,,,
CSI-RS configuration for,Config 1,,CSI-RS.1.1 FDD,,,
CSI reporting,Config 2,,CSI-RS.1.1 TDD,,,
,Config 3,,CSI-RS.2.1 TDD,,,
reportConfigType,,,periodic,,N/A,
reportQuantity,,,cri-RI-PMI-CQI,,N/A,
CSI reporting periodicity,"Config 1,2",slot,5,,N/A,
,Config 3,,10,,N/A,
CSI reporting offset,"Config 1,2",slot,3,,N/A,
,Config 3,,5,,N/A,
SMTC Configuration,,,SMTC.1,,,
SSB Configuration,"Config 1,2",,SSB.1 FR1,,,
,Config 3,,SSB.2 FR1,,,
PDSCH/PDCCH subcarrier,"Config 1,2",kHz,15,,,
spacing,Config 3,,30,,,
PUCCH/PUSCH subcarrier,"Config 1,2",kHz,15,,,
spacing,Config 3,,30,,,
PRACH configuration,,,FR1 PRACH configuration 1,,,
BWP configuration,Initial DL BWP,,DLBWP.0.1,,,
,Dedicated DL BWP,,DLBWP.1.1,,,
,Initial UL BWP,,ULBWP.0.1,,,
,Dedicated UL BWP,,ULBWP.1.1,,,
EPRE ratio of PSS to SSS,,dB,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Note2,,dBm/15kHz,-98,,,
Note2,"Config 1,2",dBm/SCS,-98,,,
,Config 3,,-95,,,
,,dB,8,-1.5,-Infinity,0.36
,,dB,8,8,-Infinity,9
SSB_RP,"Config 1,2",dBm/SCS,-90,-90,-Infinity,-89
,Config 3,,-87,-87,-Infinity,-86
IoNote3,"Config 1,2",dBm/9.36 MHz,-61.41,-58.21,-61.41,-58.21
,Config 3,dBm/38.16 MHz,-55.31,-52.11,-55.31,-52.11
Propagation condition,,,AWGN,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
