Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
2007-06,RAN2#58bis,R2-072710,,,,MAC Protocol Specification Baseline,
2007-06,RAN2#58bis,R2-072912,,,,Text Proposal for UL HARQ (Tdoc R2-072708)Text Proposal for DL HARQ (Tdoc R2-072707)Text Proposal for RACH procedure (Tdoc R2-072640)Text Proposal for Logical Channel prioritization (Tdoc R2-072643),0.1.0
2007-06,RAN2#58bis,R2-072994,,,,Basic MAC PDU structure (Tdoc R2-072983) with updatesAgreements on time-frequency resource configuration (Tdoc R2-072993)Agreement on RA-RNTI association (Tdoc R2-072993)Clarification on RA Response reception (Tdoc R2-072993),0.1.1
2007-08,RAN2#59,R2-073715,,,,Removed reference to non-existing table (Tdoc R2-073473)Incorrect mapping of logical to transport channel (Tdoc R2-073473)Un-necessary error checking in HARQ process procedure (Tdoc R2-073473)Removal of reference to timing relation for HARQ feedback (Tdoc R2-073473)Correction of Internal variable name (Tdoc R2-073473)Correction of procedure in case of successful HARQ reception (Tdoc R2-073473),0.2.0
2007-09,RAN2#59,R2-073885,,,,Text proposal for Random Access procedureText proposal on HARQ clarification for TDDText proposal on HARQ for grants,0.2.1
2007-09,RAN#37,RP-070688,,,,Clean version for information,1.0.0
2007-10,RAN2#59bis,R2-074530,,,,Editorial update with Editor's notes (Tdoc R2-074211).,1.1.0
2007-11,RAN2#60,R2-075093,,,,Agreements on MAC PDU format (R2-074536)Corrections on Random Access Procedure (R2-074536),1.1.1
2007-11,RAN2#60,R2-075243,,,,Endorsement of v1.1.1Removal of FFS on DL CCCH existence,1.2.0
2007-11,RAN2#60,R2-075488,,,,"Agreement on identity used Random Access Response (R2-075038)Agreement on Local Nack1 (R2-074949)PUCCH Resource handling (R2-075432)UL HARQ agreements (R2-075432)Agreements on semi-persistent scheduling (R2-075432, 36.300)Agreements on BSR/SR triggers (R2-075432)Agreements on BSR contents (R2-075432)Agreements on Timing Advance principles (36.300)Agreements on DRX control (36.300)Handling of P-BCH, D-BCH, PCH (R2-075246)",1.3.0
2007-11,RP-38,RP-070917,,,,"Clean version, presented at TSG RAN-38 for approval",2.0.0
2007-12,RP-38,-,,,,Approved at TSG RAN-38 and placed under change control,8.0.0
2008-03,RP-39,RP-080162,0001,2,,CR to 36.321 with E-UTRA MAC protocol specification update,8.1.0
2008-05,RP-40,RP-080410,0002,1,,36.321 CR covering agreements of RAN2 #61bis and RAN2#62,8.2.0
2008-09,RP-41,RP-080690,0003,-,,Clarification on data available for transmission for BSR triggering,8.3.0
,RP-41,RP-080690,0004,-,,CR to 36.321 on failure indication after maximum number of HARQ transmissions,8.3.0
,RP-41,RP-080690,0005,4,,"Clarifications and Corrections of DL and UL Data Transfer (SCH, RACH and SR)",8.3.0
,RP-41,RP-080690,0006,-,,CR to 36.321 on Buffer size levels for BSR,8.3.0
,RP-41,RP-080690,0007,-,,Clarifications on DRX,8.3.0
,RP-41,RP-080690,0008,-,,Clarification on UE behavior for DRX and configured measurement gaps,8.3.0
,RP-41,RP-080690,0009,3,,Correction to MAC Padding BSR,8.3.0
,RP-41,RP-080690,0010,-,,Correction to UE transmission power headroom report for LTE,8.3.0
,RP-41,RP-080690,0011,-,,Corrections on BSR,8.3.0
,RP-41,RP-080690,0012,-,,CR to 36.321 REL-8 on Format of UL grant in Message 2,8.3.0
,RP-41,RP-080690,0015,-,,CR to 36.321 REL-8 on PUSCH PUCCH Power Control RNTIs,8.3.0
,RP-41,RP-080690,0016,-,,CR to 36.321 REL-8 on RACH uniform random backoff,8.3.0
,RP-41,RP-080690,0017,1,,E-UTRA MAC protocol specification update,8.3.0
,RP-41,RP-080690,0020,-,,TP for number of HARQ processes and MIMO,8.3.0
,RP-41,RP-080690,0022,-,,Update of MAC dedicated preamble expiry,8.3.0
,RP-41,RP-080690,0027,-,,Handling of Semi-Persistent grants and assignments,8.3.0
,RP-41,RP-080690,0051,1,,Corrections relating to RACH,8.3.0
,RP-41,RP-080690,0058,1,,UL Channel Prioritisation,8.3.0
,RP-41,RP-080690,0071,2,,Corrections relating to RACH partitioning,8.3.0
,RP-41,RP-080690,0091,-,,Correction on Random Access Response reception behaviour,8.3.0
,RP-41,RP-080690,0103,-,,Upper limit of logical channel id,8.3.0
,RP-41,RP-080690,0104,-,,Clarifications and Corrections for HARQ operation at TAT expiry and RACH contention resolution,8.3.0
2008-12,RP-42,RP-081018,0105,-,,CR0105 to 36.321 [Rel-8] on PHR Periodic Timer Start,8.4.0
,RP-42,RP-081018,0106,1,,Proposed R1 of CR0106 to 36.321 [Rel-8] on PHR Reference,8.4.0
,RP-42,RP-081018,0107,1,,CR 0107 to 36.321 Interactions between measurement gap and Msg3 transmission,8.4.0
,RP-42,RP-081018,0108,2,,Proposed R1 of CR0108 to 36.321 [Rel-8] on PHR Reporting Values,8.4.0
,RP-42,RP-081018,0109,-,,Correction relating to equal priorities,8.4.0
,RP-42,RP-081018,0110,-,,CR 0110 to 36.321 on Correction to PHR,8.4.0
,RP-42,RP-081018,0112,1,,CR0112r1 to 36.321 [Rel-8] Correction to BCCH Reception procedure,8.4.0
,RP-42,RP-081018,0113,-,,Contention Resolution Timer,8.4.0
,RP-42,RP-081018,0114,-,,PCH reception,8.4.0
,RP-42,RP-081018,0115,-,,Correction to reception of assignments and grants,8.4.0
,RP-42,RP-081018,0116,-,,Correction on Contention Resolution,8.4.0
,RP-42,RP-081018,0117,2,,Proposed R1 of CR0117 to 36.321 [Rel-8] on on SR Clarifications and Repetitions,8.4.0
,RP-42,RP-081078,0118,2,,Clarification on Padding value,8.4.0
,RP-42,RP-081018,0119,-,,CR 0119 to 36.321 Correction and Clarification on TTI Bundling,8.4.0
,RP-42,RP-081018,0120,1,,Clarification of DRX Active Time,8.4.0
,RP-42,RP-081018,0121,4,,Text Proposal for Dedicated Preamble Assignment,8.4.0
,RP-42,RP-081018,0122,-,,CR0122 to 36.321 [Rel-8] on Message 3 Definition,8.4.0
,RP-42,RP-081018,0123,1,,Correction to prevent wrong contention resolution by adaptive retransmission command,8.4.0
,RP-42,RP-081018,0124,-,,Bucket Size Parameter,8.4.0
,RP-42,RP-081018,0125,2,,CR0125r2 to 36.321 [Rel-8] Correction to Multiple BSR,8.4.0
,RP-42,RP-081018,0127,-,,CR0127 to 36.321 [Rel-8] RACH preambles labelling,8.4.0
,RP-42,RP-081018,0128,1,,CR0128r1 to 36.321 [Rel-8] merging CR0126r0 and CR0128r0,8.4.0
,RP-42,RP-081018,0129,1,,CR0129r1 to 36.321 [Rel-8] Correction to PDU Format,8.4.0
,RP-42,RP-081018,0130,-,,CQI/ SRS/PMI/RI transmission during active time,8.4.0
,RP-42,RP-081018,0131,1,,NDI and Msg4 Carrying Contention Resolution ID,8.4.0
,RP-42,RP-081018,0132,1,,CR0132 to 36.321 [Rel-8] on MAC BSR trigger,8.4.0
,RP-42,RP-081018,0133,-,,Clarification about Restarting the Periodic BSR Timer,8.4.0
,RP-42,RP-081018,0134,-,,Correction to RA procedure initiated by eNB PDCCH order,8.4.0
,RP-42,RP-081018,0135,1,,Correction on PHR triggering condition,8.4.0
,RP-42,RP-081018,0136,-,,CR 0136 to 36.321 on Correction to UL HARQ Process for the transmission of Msg3,8.4.0
,RP-42,RP-081018,0137,2,,SPS occasions,8.4.0
,RP-42,RP-081018,0138,-,,Robustness of Buffer Status Reporting,8.4.0
,RP-42,RP-081018,0139,-,,Proposed CR to 36.321 [Rel-8] on UL HARQ and Measurement Gaps,8.4.0
,RP-42,RP-081018,0142,1,,TAT and RACH procedure,8.4.0
,RP-42,RP-081018,0143,1,,SRS and CQI Resources Release upon TAT Expiry,8.4.0
,RP-42,RP-081018,0157,1,,Proposed CR to 36.321 Correction to RACH procedure,8.4.0
,RP-42,RP-081018,0162,1,,BSR format for reporting empty buffers,8.4.0
,RP-42,RP-081018,0165,-,,TTI Bundling Configuration,8.4.0
,RP-42,RP-081018,0166,1,,Corrections to semi-persistent scheduling,8.4.0
,RP-42,RP-081018,0167,2,,Priotitization of MAC control elements,8.4.0
,RP-42,RP-081018,0168,-,,Correction to starting of TA timer,8.4.0
,RP-42,RP-081018,0173,1,,Proposed CR to 36.321 SPS implicit release on UL,8.4.0
,RP-42,RP-081018,0174,-,,Proposed CR to 36.321 Measurement gaps and SPS,8.4.0
,RP-42,RP-081018,0175,-,,Proposed CR to 36.321 Setting reserved bits to zero,8.4.0
,RP-42,RP-081018,0185,-,,Proposed CR to 36.321 [Rel-8] MAC ResetReconfig Option 2,8.4.0
,RP-42,RP-081018,0188,2,,RV setting,8.4.0
,RP-42,RP-081018,0189,-,,Corrections to Random Access Procedure,8.4.0
,RP-42,RP-081018,0198,-,,Number of HARQ processes for MIMO,8.4.0
,RP-42,RP-081018,0201,-,,Corrections to power control and random access,8.4.0
,RP-42,RP-081018,0206,-,,Correction on the definition of the PDCCH-subframe,8.4.0
,RP-42,RP-081018,0211,1,,Correction to the coexist of SPS-RNTI and SI-RNTI or RA-RNTI,8.4.0
,RP-42,RP-081018,0220,-,,Explicit release of SPS,8.4.0
,RP-42,RP-081018,0225,2,,Linking HARQ process ID with the SPS resource,8.4.0
,RP-42,RP-081018,0231,-,,Bucket Parameter Update,8.4.0
,RP-42,RP-081018,0232,1,,"Clarification on ""PDCCH indicates a new transmission"" for DRX",8.4.0
,RP-42,RP-081018,0233,1,,Editorial corrections to MAC,8.4.0
,RP-42,RP-081018,0236,-,,RB suspension and BSR contents,8.4.0
,RP-42,RP-081018,0239,-,,RV setting,8.4.0
,RP-42,RP-081018,0240,2,,Preamble group selection,8.4.0
,RP-42,RP-081018,0241,-,,Use of dedicated preambles after HO complete,8.4.0
,RP-42,RP-081018,0242,-,,Introduction of HARQ RTT Timer,8.4.0
,RP-42,RP-081018,0243,-,,Correction to DRX configuration,8.4.0
2009-03,RP-43,RP-090128,0245,-,,CR to 36.321 on BSR clarification,8.5.0
,RP-43,RP-090128,0246,2,,Freeing of reserved RNTIs,8.5.0
,RP-43,RP-090128,0247,-,,Correction to MAC reset,8.5.0
,RP-43,RP-090128,0248,-,,Correction to Initialization of Prioritization,8.5.0
,RP-43,RP-090128,0249,-,,Local NACKing Optionality MAC CR,8.5.0
,RP-43,RP-090128,0250,1,,Position of the Backoff Indicator subheader,8.5.0
,RP-43,RP-090128,0251,-,,Missing reserved bit setting,8.5.0
,RP-43,RP-090128,0252,-,,Expired TAT and PUSCH transmission,8.5.0
,RP-43,RP-090128,0253,-,,Expired TAT and HARQ feedback,8.5.0
,RP-43,RP-090128,0254,1,,Counter proposal to R2-090969 on Management for HARQ buffer with TAT,8.5.0
,RP-43,RP-090128,0255,-,,HARQ Feedback and Contention Resolution,8.5.0
,RP-43,RP-090128,0256,-,,Corrections to redundancy version control for system information,8.5.0
,RP-43,RP-090128,0257,-,,Mapping of the RNTIs to different transport channels,8.5.0
,RP-43,RP-090128,0258,-,,DRX and UL Retransmissions,8.5.0
,RP-43,RP-090128,0259,-,,Definition of DRX Short Cycle Timer,8.5.0
,RP-43,RP-090128,0260,-,,Small corrections to RACH,8.5.0
,RP-43,RP-090128,0261,-,,Processing of contention resolution message,8.5.0
,RP-43,RP-090128,0262,-,,Corrections to power control and random access,8.5.0
,RP-43,RP-090128,0263,-,,Missing condition for unsuccessful reception of Msg2,8.5.0
,RP-43,RP-090128,0264,1,,Corrections relating to Random Access required inputs,8.5.0
