Index,Buffer Size (BS) value [bytes],Index,Buffer Size (BS) value [bytes]
0,BS = 0,32,1132 < BS <= 1326
1,0 < BS <= 10,33,1326 < BS <= 1552
2,10 < BS <= 12,34,1552 < BS <= 1817
3,12 < BS <= 14,35,1817 < BS <= 2127
4,14 < BS <= 17,36,2127 < BS <= 2490
5,17 < BS <= 19,37,2490 < BS <= 2915
6,19 < BS <= 22,38,2915 < BS <= 3413
7,22 < BS <= 26,39,3413 < BS <= 3995
8,26 < BS <= 31,40,3995 < BS <= 4677
9,31 < BS <= 36,41,4677 < BS <= 5476
10,36 < BS <= 42,42,5476 < BS <= 6411
11,42 < BS <= 49,43,6411 < BS <= 7505
12,49 < BS <= 57,44,7505 < BS <= 8787
13,57 < BS <= 67,45,8787 < BS <= 10287
14,67 < BS <= 78,46,10287 < BS <= 12043
15,78 < BS <= 91,47,12043 < BS <= 14099
16,91 < BS <= 107,48,14099 < BS <= 16507
17,107 < BS <= 125,49,16507 < BS <= 19325
18,125 < BS <= 146,50,19325 < BS <= 22624
19,146 < BS <= 171,51,22624 < BS <= 26487
20,171 < BS <= 200,52,26487 < BS <= 31009
21,200 < BS <= 234,53,31009 < BS <= 36304
22,234 < BS <= 274,54,36304 < BS <= 42502
23,274 < BS <= 321,55,42502 < BS <= 49759
24,321 < BS <= 376,56,49759 < BS <= 58255
25,376 < BS <= 440,57,58255 < BS <= 68201
26,440 < BS <= 515,58,68201 < BS <= 79846
27,515 < BS <= 603,59,79846 < BS <= 93479
28,603 < BS <= 706,60,93479 < BS <= 109439
29,706 < BS <= 826,61,109439 < BS <= 128125
30,826 < BS <= 967,62,128125 < BS <= 150000
31,967 < BS <=1132,63,BS > 150000
