Index,Buffer Size (BS) value [bytes],Index,Buffer Size (BS) value [bytes]
0,BS = 0,32,4940 < BS <= 6074
1,0 < BS <= 10,33,6074 < BS <= 7469
2,10 < BS <= 13,34,7469 < BS <= 9185
3,13 < BS <= 16,35,9185 < BS <= 11294
4,16 < BS <= 19,36,11294 < BS <= 13888
5,19 < BS <= 23,37,13888 < BS <= 17077
6,23 < BS <= 29,38,17077 < BS <= 20999
7,29 < BS <= 35,39,20999 < BS <= 25822
8,35 < BS <= 43,40,25822 < BS <= 31752
9,43 < BS <= 53,41,31752 < BS <= 39045
10,53 < BS <= 65,42,39045 < BS <= 48012
11,65 < BS <= 80,43,48012 < BS <= 59039
12,80 < BS <= 98,44,59039 < BS <= 72598
13,98 < BS <= 120,45,72598 < BS <= 89272
14,120 < BS <= 147,46,89272 < BS <= 109774
15,147 < BS <= 181,47,109774 < BS <= 134986
16,181 < BS <= 223,48,134986 < BS <= 165989
17,223 < BS <= 274,49,165989 < BS <= 204111
18,274 < BS <= 337,50,204111 < BS <= 250990
19,337 < BS <= 414,51,250990 < BS <= 308634
20,414 < BS <= 509,52,308634 < BS <= 379519
21,509 < BS <= 625,53,379519 < BS <= 466683
22,625 < BS <= 769,54,466683 < BS <= 573866
23,769 < BS <= 945,55,573866 < BS <= 705666
24,945 < BS <= 1162,56,705666 < BS <= 867737
25,1162 < BS <= 1429,57,867737 < BS <= 1067031
26,1429 < BS <= 1757,58,1067031 < BS <= 1312097
27,1757 < BS <= 2161,59,1312097 < BS <= 1613447
28,2161 < BS <= 2657,60,1613447 < BS <= 1984009
29,2657 < BS <= 3267,61,1984009 < BS <= 2439678
30,3267 < BS <= 4017,62,2439678 < BS <= 3000000
31,4017 < BS <=4940,63,BS > 3000000
