PRACH Mask Index,Allowed PRACH (FDD or IoT NTN TDD mode),Allowed PRACH (TDD)
0,All,All
1,PRACH Resource Index 0,PRACH Resource Index 0
2,PRACH Resource Index 1,PRACH Resource Index 1
3,PRACH Resource Index 2,PRACH Resource Index 2
4,PRACH Resource Index 3,PRACH Resource Index 3
5,PRACH Resource Index 4,PRACH Resource Index 4
6,PRACH Resource Index 5,PRACH Resource Index 5
7,PRACH Resource Index 6,Reserved
8,PRACH Resource Index 7,Reserved
9,PRACH Resource Index 8,Reserved
10,PRACH Resource Index 9,Reserved
11,"Every, in the time domain, even PRACH opportunity1st PRACH Resource Index in subframe","Every, in the time domain, even PRACH opportunity1st PRACH Resource Index in subframe"
12,"Every, in the time domain, odd PRACH opportunity1st PRACH Resource Index in subframe","Every, in the time domain, odd PRACH opportunity1st PRACH Resource Index in subframe"
13,Reserved,1st PRACH Resource Index in subframe
14,Reserved,2nd PRACH Resource Index in subframe
15,Reserved,3rd PRACH Resource Index in subframe
