UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD(NOTE 7),MSD(NOTE 8),UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),(dB),,
n80,n77,5,15,12,10,26.9,29.9,NOTE 2,UL2/DL1direct-hit
n80,n77,5,15,12,100,16.8,19.8,NOTE 2,UL2/DL1direct-hit
n80,n78,5,15,12,10,26.9,29.9,NOTE 2,UL2/DL1direct-hit
n80,n78,5,15,12,100,16.8,19.8,NOTE 2,UL2/DL1direct-hit
n80,n104,5,15,6,20,14.7,17.7,NOTE 4,UL4/DL1direct-hit
n80,n104,5,15,6,100,8.4,11.1,NOTE 4,UL4/DL1direct-hit
n84,n77,5,15,12,10,26.9,29.9,NOTE 2,UL2/DL1direct-hit
n84,n77,5,15,12,100,16.8,19.8,NOTE 2,UL2/DL1direct-hit
n97,n79,5,15,25,10,38.5,41.5,NOTE 2,UL2/DL1direct-hit
n97,n79,5,15,25,100,28.3,31.3,NOTE 2,UL2/DL1direct-hit
"NOTE 1:The direct-hit requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd / 3rd / 4th / 5th transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band. The requirements should be verified using RBstart = floor((NRB-LCRB)/2), where floor(x) is the greatest integer less than or equal to x, and where the UL parameters NRB and LCRB are respectively, the transmission bandwidth configuration and the number of RB’s for the specified UL band channel bandwidth and the UL band subcarrier spacing.NOTE 2:The requirements should be verified for UL NR ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band. This DL band may be affected by near-miss interference for which the MSD is not specified.NOTE 3:The requirements should be verified for UL NR ARFCN of the aggressor (lower) band (superscript LB) such that  in MHz and  with the carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the low band.NOTE 4:The requirements should be verified for UL EARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 5:The requirements should be verified for UL NR-ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 6:The near-miss requirements are only applicable when direct-hit requirements do not apply. These requirements should be verified for downlink channel bandwidths no larger than 10 MHz and with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 7:Applicable to UEs supporting PC2 with 1Tx.NOTE 8:Applicable to UEs supporting PC2 with 2Tx.±10+BWChannelHB/2",,,,,,,,,
