Operating band / SCS / Channel bandwidth,,,,,
Operating Band,SCS kHz,5 MHz,10 MHz,15 MHz,20 MHz
n1,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n2,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n3,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n5,15,25,50,75,100
,30,,24,36,50
n7,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n8,15,25,50,75,100
,30,,24,36,50
n12,15,25,50,75,
,30,,24,36,
n13,15,25,50,,
,30,,24,,
n14,15,25,50,,
,30,,24,,
n18,15,25,50,75,
,30,,24,36,
n20,15,25,50,75,100
,30,,24,36,50
n24,15,25,50,,
,30,,24,,
,60,,10,,
n25,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n26,15,25,50,75,100
,30,,24,36,50
n28,15,25,50,75,100
,30,,24,36,50
n30,15,25,50,,
,30,,24,,
n65,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n66,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n70,15,25,50,75,NOTE 1
,30,,24,36,NOTE 1
,60,,10,18,NOTE 1
n71,15,25,50,75,100
,30,,24,36,50
n74,15,25,50,75,100
,30,,24,36,50
,60,,10,18,24
n85,15,25,50,75,
,30,,24,36,
n91,15,25,,,
n92,15,25,50,75,100
,30,,24,36,50
n93,15,25,,,
n94,15,25,50,75,100
,30,,24,36,50
n105,15,25,50,75,100
,30,,24,36,50
"NOTE 1:For DL channel bandwidths that do not have symmetric UL channel bandwidth, highest valid UL configuration with lowest TX-RX separation (Table 5.4.4-1) shall be used unless otherwise specified.",,,,,
