Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_n1-n3-n77,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,N/A,5,N/A,1807.5,37.5,FDD,"IMD21,2"
,n77,3757.5,10,50,3757.5,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,37.0,FDD,IMD21
,n3,1775,5,25,1870,N/A,FDD,N/A
,n77,3915,10,50,3915,N/A,TDD,N/A
CA_n1-n3-n28,n3,1780,5,25,1875,N/A,FDD,N/A
,n28,710.5,5,25,765.5,N/A,FDD,N/A
,n1,N/A,5,N/A,2139,22.7,FDD,IMD4
CA_n1-n3-n78,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,N/A,5,N/A,1830,33.9,FDD,IMD2
,n78,3780,10,50,3780,N/A,TDD,N/A
,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,1750,5,25,1845,N/A,FDD,N/A
,n78,N/A,10,N/A,3700,34.4,TDD,IMD2
CA_n1-n3-n79,n3,1750,5,25,1845,N/A,FDD,N/A
,n79,4860,40,216,4860,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,18.7,FDD,IMD5
CA_n1-n7-n20,n1,1940,5,25,2130,N/A,FDD,N/A
,n7,2510,10,50,2630,N/A,FDD,N/A
,n20,N/A,5,N/A,800,17.7,FDD,IMD5
CA_n1-n7-n28,n1,1935,5,25,2125,N/A,FDD,N/A
,n7,2510,10,50,2630,N/A,FDD,N/A
,n28,N/A,10,N/A,785,"17,7",FDD,IMD5
CA_n1-n7-n78,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2627.5,20.6,FDD,IMD4
,n78,3305,10,50,3305,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,20.1,FDD,IMD4
,n7,2510,10,50,2630,N/A,FDD,N/A
,n78,3580,10,50,3580,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,22.1,TDD,IMD4
,n1,1940,5,25,2130,N/A,FDD,N/A
,n7,2550,5,25,2670,N/A,FDD,N/A
,n78,N/A,10,N/A,3770,10.9,TDD,IMD5
CA_n1-n18-n41,n1,1960,5,25,2150,N/A,FDD,N/A
,n41,2505,10,50,2505,N/A,TDD,N/A
,n18,N/A,5,N/A,870,12.4,FDD,IMD5
CA_n1-n18-n77,n1,1970,5,25,2160,N/A,FDD,N/A
,n77,3390,10,50,3390,N/A,TDD,N/A
,n18,N/A,5,N/A,870,18.6,FDD,IMD5
,n1,N/A,5,N/A,2120,25.4,FDD,IMD3
,n18,825,5,25,870,N/A,FDD,N/A
,n77,3770,10,50,3770,N/A,TDD,N/A
CA_n1-n26-n78,n1,N/A,5,N/A,2122,27.0,FDD,IMD3
,n26,829,5,25,874,N/A,FDD,N/A
,n78,3780,10,50,3780,N/A,TDD,N/A
,n1,1975,5,25,2165,N/A,FDD,N/A
,n26,N/A,5,N/A,885,15.3,FDD,IMD5
,n78,3405,10,50,3405,N/A,TDD,N/A
CA_n1-n28-n41,n1,1923,5,25,2113,N/A,FDD,N/A
,n28,N/A,5,N/A,762,36.6,FDD,IMD21
,n41,2685,10,50,2685,N/A,TDD,N/A
CA_n1-n28-n77,n1,1950,5,25,2140,N/A,FDD,N/A
,n77,3320,10,50,3320,N/A,TDD,N/A
,n28,N/A,5,N/A,790,16.5,FDD,IMD5
,n28,740,5,25,795,N/A,FDD,N/A
,n77,3630,10,50,3630,N/A,TDD,N/A
,n1,N/A,5,N/A,2150,24.7,FDD,IMD3
CA_n1-n28-n78,n1,N/A,5,N/A,2150,24.6,FDD,IMD3
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3630,10,50,3630,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n28,N/A,5,N/A,794,17.2,FDD,IMD5
,n78,3352,10,50,3352,N/A,TDD,N/A
CA_n1-n28-n79,n1,1930,5,25,2120,N/A,FDD,N/A
,n79,4648,40,216,4648,N/A,TDD,N/A
,n28,N/A,5,N/A,788,24.2,FDD,IMD32
,n28,745.5,5,25,800.5,N/A,FDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n1,N/A,5,N/A,2167.5,13.4,FDD,IMD41
CA_n1-n77-n79,n1,1950,5,25,2140,24.6,FDD,"IMD31,2"
,n77,3400,10,50,3400,N/A,TDD,N/A
,n79,4660,40,216,4660,N/A,TDD,N/A
CA_n1-n41-n77,n1,1970,5,25,2160,N/A,FDD,N/A
,n41,2650,10,50,2650,N/A,TDD,N/A
,n77,N/A,10,N/A,3330,28.2,TDD,"IMD31,2"
,n1,1975,5,10,2165,N/A,FDD,N/A
,n77,3410,10,50,3410,N/A,TDD,N/A
,n41,N/A,10,N/A,2515,22.0,TDD,IMD41
,n41,2640,10,50,2640,N/A,TDD,N/A
,n77,3710,10,50,3710,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,21.4,FDD,IMD4
CA_n1-n78-n79,n1,1950,5,25,2140,N/A,FDD,N/A
,n78,3410,10,50,3410,N/A,TDD,N/A
,n79,N/A,40,N/A,4870,24.9,TDD,"IMD31,3"
,n1,1950,5,25,2140,N/A,FDD,N/A
,n78,N/A,10,N/A,3490,17,TDD,IMD53
,n79,4670,40,216,4670,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,24.6,FDD,IMD31
,n78,3400,10,50,3400,N/A,TDD,N/A
,n79,4660,40,216,4660,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,3.8,FDD,IMD41
,n78,3590,10,50,3590,N/A,TDD,N/A
,n79,4660,40,216,4660,N/A,TDD,N/A
CA_n2-n5-n77,n2,1907.5,5,25,1987.5,N/A,FDD,N/A
,n5,N/A,5,N/A,887.5,13.6,FDD,IMD55
,n77,3305,10,50,3305,N/A,TDD,N/A
,n2,N/A,5,N/A,1987,24.8,FDD,IMD35
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n77,3680,10,50,3680,N/A,TDD,N/A
CA_n2-n12-n77,n2,N/A,5,N/A,1960,"24,8",FDD,"IMD32,5"
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n77,3375,10,50,3375,N/A,TDD,N/A
CA_n2-n14-n77,n2,N/A,5,N/A,1954,24.8,FDD,IMD3
,n14,793,5,25,763,N/A,FDD,N/A
,n77,3540,10,50,3540,N/A,TDD,N/A
CA_n2-n30-n77,n2,N/A,5,N/A,1986,19.3,FDD,IMD45
,n30,2312,5,25,2357,N/A,FDD,N/A
,n77,3305,10,50,3305,N/A,TDD,N/A
,n2,1905,5,25,1985,N/A,FDD,N/A
,n30,N/A,5,N/A,2354,22.2,FDD,IMD45
,n77,3361,10,50,3361,N/A,TDD,N/A
