UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),,
n40,n28,10,15,25,5,43.8,NOTE 7,UL1/DL3
n40,n28,10,15,25,20,36.3,NOTE 7,UL1/DL3
n41,n39,10,15,8,5,10.5,NOTE 6,UL3/DL4
n41,n39,10,15,8,40,3.0,NOTE 6,UL3/DL4
n41,n77,10,15,6,10,14.5,NOTE 8,UL4/DL3
n41,n77,10,15,6,100,5.5,NOTE 8,UL4/DL3
n41,n78,10,15,6,10,14.9,NOTE 8,UL4/DL3
n41,n78,10,15,6,100,5.8,NOTE 8,UL4/DL3
n77,n2,10,15,25,5,11.8,NOTE 4,UL1/DL2
n77,n2,10,15,25,20,6.5,NOTE 4,UL1/DL2
n77,n3,10,15,25,5,10.7,NOTE 4,UL1/DL2
n77,n3,10,15,25,40,1.4,NOTE 4,UL1/DL2
n77,n5,10,15,25,5,10.7,NOTE 5,UL1/DL4
n77,n5,10,15,25,20,2.6,NOTE 5,UL1/DL4
n77,n7,10,15,12,10,17.5,NOTE 3,UL2/DL3
n77,n7,10,15,12,100,5.5,NOTE 3,UL2/DL3
n77,n12,10,15,25,5,37,NOTE 1,UL1/DL5
n77,n12,10,15,25,15,24,NOTE 1,UL1/DL5
n77,n13,10,15,25,5,37,NOTE 1,UL1/DL5
n77,n13,10,15,25,10,33.8,NOTE 1,UL1/DL5
n77,n14,10,15,25,5,37,NOTE 1,UL1/DL5
n77,n14,10,15,25,10,33.8,NOTE 1,UL1/DL5
n77,n25,10,15,25,5,10.6,NOTE 4,UL1/DL2
n77,n25,10,15,25,40,0.8,NOTE 4,UL1/DL2
n77,n28,10,15,25,5,37,NOTE 1,UL1/DL5
n77,n28,10,15,25,30,17,NOTE 1,UL1/DL5
n772,n29,10,15,25,5,37,NOTE 1,UL1/DL5
n772,n29,10,15,25,10,33.8,NOTE 1,UL1/DL5
n77,n30,10,15,12,5,16.1,NOTE 3,UL2/DL3
n77,n30,10,15,12,10,13,NOTE 3,UL2/DL3
n77,n40,10,15,12,10,17.5,NOTE 3,UL2/DL3
n77,n40,10,15,12,100,7.9,NOTE 3,UL2/DL3
n77,n41,10,15,12,5,20.5,NOTE 3,UL2/DL3
n77,n41,10,15,12,100,7.9,NOTE 3,UL2/DL3
n772,n70,N/A,N/A,N/A,N/A,N/A,NOTE 4,UL1/DL2
n77,n85,10,15,25,5,37,NOTE 1,UL1/DL5
n77,n85,10,15,25,15,24,NOTE 1,UL1/DL5
n78,n3,10,15,25,5,10.7,NOTE 4,UL1/DL2
n78,n3,10,15,25,40,1.4,NOTE 4,UL1/DL2
n78,n8,10,15,25,5,10.6,NOTE 5,UL1/DL4
n78,n8,10,15,25,20,2.6,NOTE 5,UL1/DL4
n78,n26,10,15,25,5,10.1,NOTE 5,UL1/DL4
n78,n28,10,15,50,5,13,NOTE 10,UL1/DL5near-miss
n78,n40,10,15,12,10,17.5,NOTE 3,UL2/DL3
n78,n40,10,15,12,100,7.9,NOTE 3,UL2/DL3
n79,n8,10,15,25,5,31.0,NOTE 1,UL1/DL5
