UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,X band interference source
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
n80,n41,1765,40,15,50 (RBstart=166),2501,10,0.7,>ACLR2
n80,n41,1765,40,15,50 (RBstart=166),2546,100,0.7,>ACLR2
n84,n3,1945,50,15,128 (RBstart=0),1877.5,5,19.7,ACLR1
n95,n41,2017.5,15,15,75 (RBstart=4),2501,10,3.2,>ACLR2
n95,n41,2017.5,15,15,75 (RBstart=4),2501,10,3.5,>ACLR2
n95,n41,2017.5,15,15,75 (RBstart=4),2546,100,3.2,>ACLR2
n97,n41,2350,100,30,270 (RBstart=3),2501,10,28.1,ACLR2
n97,n41,2360,80,30,216 (RBstart=1),2546,100,10.6,ACLR2
n98,n41,1900,40,15,216 (RBstart=0),2501,10,3.3,>ACLR2
n98,n41,1900,40,15,216 (RBstart=0),2501,10,3.6,>ACLR2
