UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),,
n1,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n1,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n2,n48,5,15,25,10,8.1,NOTE 6,UL2/DL1near-miss
n2,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n2,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n2,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n2,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n3,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n3,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n3,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n3,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n3,n104,5,15,6,20,11.7,NOTE 4,UL4/DL1direct-hit
n3,n104,5,15,6,100,6.1,NOTE 4,UL4/DL1direct-hit
n5,n411,5,15,8,10,10.3,NOTE 3,UL3/DL1direct-hit
n5,n778,5,15,6,10,10.5,NOTE 4,UL4/DL1direct-hit
n5,n778,5,15,6,100,2.9,NOTE 4,UL4/DL1direct-hit
n5,n778,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n5,n778,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n5,n78,5,15,6,10,10.5,NOTE 4,UL4/DL1direct-hit
n5,n78,5,15,6,100,2.9,NOTE 4,UL4/DL1direct-hit
n7,n79,5,15,25,10,9.3,NOTE 6,UL2/DL1near-miss
n8,n313,N/A,N/A,N/A,N/A,N/A,NOTE 2,UL2/DL1direct-hit
n8,n7,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
n8,n7,5,15,8,50,1.1,NOTE 3,UL3/DL1direct-hit
n8,n41,5,15,8,10,13,NOTE 3,UL3/DL1direct-hit
n8,n41,5,15,8,100,4.5,NOTE 3,UL3/DL1direct-hit
n8,n77,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n8,n77,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n8,n78,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n8,n78,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n8,n79,5,15,5,10,12.0,NOTE 5,UL5/DL1direct-hit
n8,n79,5,15,5,100,3.8,NOTE 5,UL5/DL1direct-hit
n12,n48,5,15,5,5,13,NOTE 5,UL5/DL1direct-hit
n12,n48,5,15,5,40,3.3,NOTE 5,UL5/DL1direct-hit
n12,n66,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
n12,n66,5,15,8,40,3.1,NOTE 3,UL3/DL1direct-hit
n12,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n12,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n12,n781,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n13,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n13,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n14,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n14,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n18,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n18,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n18,n78,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n20,n41,5,15,8,10,10.3,NOTE 3,UL3/DL1
n20,n77,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n20,n77,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n20,n78,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n20,n78,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n24,n778,5,15,12,10,N/A,NOTE 2,UL2/DL1direct-hit
n25,n48,5,15,25,5,8.1,NOTE 6,UL2/DL1near-miss
n25,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n25,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n25,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n25,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n26,n778,5,15,6,10,N/A,NOTE 4,UL4/DL1direct-hit
n26,n778,5,15,5,10,N/A,NOTE 5,UL5/DL1direct-hit
n26,n78,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n26,n78,5,15,6,100,3,NOTE 4,UL4/DL1direct-hit
n28,n1,5,15,8,5,10.2,NOTE 3,UL3/DL1direct-hit
n28,n1,5,15,8,50,2.6,NOTE 3,UL3/DL1direct-hit
n28,n50,5,15,12,10,28.1,NOTE 2,UL2/DL1direct-hit
n28,n50,5,15,12,80,15.8,NOTE 2,UL2/DL1direct-hit
n28,n74,5,15,12,5,28.1,NOTE 2,UL2/DL1direct-hit
n28,n74,5,15,12,20,18,NOTE 2,UL2/DL1direct-hit
n28,n75,5,15,12,5,28.1,NOTE 2,UL2/DL1direct-hit
n28,n75,5,15,12,50,17.9,NOTE 2,UL2/DL1direct-hit
n28,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n28,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n28,n78,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n28,n78,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n28,n94,5,15,12,5,28.1,NOTE 2,UL2/DL1direct-hit
n28,n94,5,15,12,20,21.9,NOTE 2,UL2/DL1direct-hit
n50,n8,5,15,12,5,10,NOTE 2,UL2/DL3direct-hit
n66,n48,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n66,n48,5,15,12,1007,13.8,NOTE 2,UL2/DL1direct-hit
n66,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n66,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n66,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n66,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n70,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
n70,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n70,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
