UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
n1,n3,1922.5,5,15,25 (RBstart=0),1877.5,5,3,>ACLR2
n1,n3,1945,50,15,128 (RBstart=0),1877.5,5,19.7,ACLR1
n1,n38,1955,50,15,128 (RBstart=142),2572.5,5,2.9,>ACLR2
n1,n38,1955,50,15,128 (RBstart=142),2590,40,2.9,>ACLR2
n1,n40,1955,50,15,128 (RBstart=142),2305,10,3.6,>ACLR2
n1,n40,1970,20,15,100 (RBstart=6),2305,10,3.6,>ACLR2
n1,n41,1955,50,15,128 (RBstart=142),2501,10,6.1,>ACLR2
n1,n41,1970,20,15,100 (RBstart=6),2546,100,0.7,>ACLR2
n2,n66,1910,40,15,40 (RBstart=176),2112.5,5,0,>ACLR2
n3,n39,1770,30,15,50 (RBstart=110),1882.5,5,2.1,>ACLR2
n3,n41,1760,50,15,50 (RBstart=220),2501,10,0.7,>ACLR2
n3,n41,1760,50,15,50 (RBstart=220),2546,100,0.7,>ACLR2
n3,n74,1712.5,5,15,25 (RBstart=0),1515.5,5,2.6,>ACLR2
n3,n75,1712.5,5,15,25 (RBstart=0),1515.5,5,4.3,>ACLR2
n5,n8,844,10,15,25 (RBstart=27),951.5,5,2.8,>ACLR2
n5,n13,834,20,15,20 (RBstart=0),753.5,5,2.4,>ACLR2
n5,n28,834,20,15,20 (RBstart=0),800.5,5,17.5,ACLR2
n5,n71,834,20,15,20 (RBstart=0),649.5,5,3.9,>ACLR2
n5,n105,834,20,15,20 (RBstart=0),649.5,5,3.3,>ACLR2
n7,n3,2525,50,15,45 (RBstart=0),1877.5,5,0.6,>ACLR2
n7,n40,2525,50,15,45 (RBstart=0),2395,10,1.7,>ACLR2
n12,n71,706.5,15,15,20 (RBstart=0),649.5,5,3.8,>ACLR2
n13,n5,782,10,15,20 (RBstart=32),871.5,5,2.1,>ACLR2
n18,n285,822.5,15,15,25 (RBstart=0),800.5,5,31.3,ACLR1
n18,n28,822.5,15,15,25 (RBstart=0),785.5,5,12.7,ACLR2
n20,n71,842,20,15,20 (RBstart=0),649.5,5,2.6,>ACLR2
n26,n28,824,20,15,25 (RBstart=0),800.5,5,36.9,ACLR1
n26,n29,824,20,15,25 (RBstart=0),719.5,5,3.9,>ACLR2
n26,n71,824,20,15,20 (RBstart=0),649.5,5,3.9,>ACLR2
