UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
n2,n66,1900,20,15,50 (RBstart=56),2112.5,5,0.760.97,>ACLR2
n3,n1,1760,50,15,50 (RBstart=220),2112.5,5,0.861.17,>ACLR2
n3,n7,1760,50,15,50 (RBstart=220),2622.5,5,0.560.77,>ACLR2
n7,n1,2525,50,15,45 (RBstart=0),2167.5,5,0.861.17,>ACLR2
n7,n3,2525,50,15,45 (RBstart=0),1877.5,5,1.161.57,>ACLR2
n25,n41,1760,40,15,40 (RBstart=176),2501,10,0.8617,>ACLR2
n25,n66,1895,40,15,40 (RBstart=176),2112.5,5,0.760.97,>ACLR2
n39,n41,1900,40,15,216 (RBstart=0),2501,10,4.7,>ACLR2
n40,n3,2350,100,30,270 (RBstart=0),1877.5,5,0.6,>ACLR2
n40,n41,2345,50,30,128 (RBstart=5),2565,100,13.9,>ACLR2
n40,n41,2350,100,30,270 (RBstart=3),2501,10,31.1,ACLR2
n41,n1,2546,100,30,270 (RBstart=0),2167.5,5,20.8,>ACLR2
n41,n3,2546,100,30,270 (RBstart=0),1877.5,5,2.3,>ACLR2
n41,n25,2546,100,30,270 (RBstart=0),1992.5,5,1.6,>ACLR2
n41,n39,2546,100,30,270 (RBstart=3),1917.5,5,2.7,>ACLR2
n41,n40,2546,100,30,270 (RBstart=0),2395,10,31.4,ACLR2
n41,n40,2565,100,30,270 (RBstart=0),2345,50,30.1,ACLR2
n41,n66,2546,100,30,270 (RBstart=0),2197.5,5,13.1,>ACLR2
n41,n77,2640,100,30,270 (RBstart=3),3305,10,10.5,>ACLR2
n41,n79,2640,100,30,270 (RBstart=3),4405,10,3.1,>ACLR2
n66,n2,1760,40,15,216 (RBstart=0),1932.5,5,1.963.37,>ACLR2
n66,n25,1757.5,45,15,240 (RBstart=2),1932.5,5,2.263.87,>ACLR2
n66,n41,1760,40,15,216 (RBstart=0),2501,10,0.8617,>ACLR2
n66,n70,1760,40,15,216 (RBstart=0),1997.5,5,1.963.37,>ACLR2
n70,n66,1702.5,15,15,75 (RBstart=4),2112.5,5,0.460.57,>ACLR2
n71,n29,685.5,25,15,20 (RBstart=113),719.5,5,"416,8447,8",ACLR1
n71,n29,688,20,15,20 (RBstart=86),719.5,5,"20.46,823.37,8",ACLR2
n71,n85,685.5,25,15,20 (RBstart=113),730.5,5,"13.24,616.24,7",ACLR2
n71,n85,680.5,35,15,20 (RBstart=168),730.5,5,"265,632.35,7",ACLR1
n77,n2,3350,100,30,270 (RBstart=0),1987.5,5,1.0,>ACLR2
n77,n7,3350,100,30,270 (RBstart=0),2687.5,5,6.5,>ACLR2
n77,n25,3350,100,30,270 (RBstart=0),1992.5,5,1.0,>ACLR2
n77,n30,3350,100,30,270 (RBstart=0),2357.5,5,1.0,>ACLR2
n77,n401,3350,100,30,270 (RBstart=0),2395,5,9.5,>ACLR2
n77,n401,3350,100,30,270 (RBstart=0),2350,100,6.5,>ACLR2
n77,n411,3350,100,30,270 (RBstart=0),2685,10,6.5,>ACLR2
n77,n411,3350,100,30,270 (RBstart=0),2640,100,6.5,>ACLR2
n77,n66,3350,100,30,270 (RBstart=0),2197.5,5,1.0,>ACLR2
n78,n7,3350,100,30,270 (RBstart=0),2687.5,5,6.5,>ACLR2
n78,n401,3350,100,30,270 (RBstart=0),2395,10,6.5,>ACLR2
n78,n401,3350,100,30,270 (RBstart=0),2350,100,1.2,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4405,10,5,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4450,100,5,>ACLR2
n79,n41,4450,100,30,270 (RBstart=0),2685,10,3.5,>ACLR2
n79,n783,4450,100,30,270 (RBstart=0),3795,10,5.6,>ACLR2
n79,n783,4450,100,30,270 (RBstart=0),3750,100,5.6,>ACLR2
NOTE 1:Applicable only when harmonic mixing MSD for this combination is not applied.NOTE 2:Void.NOTE 3:The requirements only apply for UEs supporting inter-band carrier aggregation with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.NOTE 4:Applicable to UE not supporting n71 optional maximum symmetrical UL/DL channel bandwidthNOTE 5:Applicable to UE supporting n71 optional maximum symmetrical UL/DL channel bandwidth.NOTE 6:Applicable to UE’s supporting PC2 with 1TxNOTE 7:Applicable to UE’s supporting PC2 with 2TxNOTE 8: Not applicable to UEs indicating support of low NR band inter-band carrier aggregation via switching featureSetCombinationLowBandSwitching-r19 for this band combination,,,,,,,,,
