Band combination for SUL,"ΔRIB,c for NR band (dB)2",
,Component band in order of bands in configuration3,
SUL_n41-n80,0.51,N/A
SUL_n41-n95,0.2,N/A
SUL_n41-n98,0.2,N/A
SUL_n48-n99,0.5,N/A
SUL_n77-n80,0.5,N/A
SUL_n77-n84,0.5,N/A
SUL_n77-n99,0.5,N/A
SUL_n78-n80,0.5,N/A
SUL_n78-n81,0.5,N/A
SUL_n78-n82,0.5,N/A
SUL_n78-n83,0.5,N/A
SUL_n78-n84,0.5,N/A
SUL_n78-n86,0.5,N/A
SUL_n79-n83,0.5,N/A
SUL_n79-n97,0.5,N/A
SUL_n79-n98,0.5,N/A
SUL_n80-n104,N/A,0.5
SUL_n81-n104,N/A,0.5
SUL_n83-n104,N/A,0.5
SUL_n84-n104,N/A,0.5
SUL_n89-n104,N/A,0.5
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 2:“-” denotes ΔRIB,c = 0 and ΔRIB,c is not applicable to SUL band(s).NOTE 3:The component band order in the configuration should be listed by the order of NR band, such as for SUL_n41-n80 the order of band is n41 and n80.",,
