Band combination for SUL,"ΔRIB,c for NR bands (dB)2",,
,Component band in order of bands in configuration3,,
CA_n1_n78-n80,0.2,0.5,N/A
CA_n1_n78-n81,-,0.5,N/A
CA_n1_n78-n84,0.2,0.5,N/A
CA_n1_n78-n89,0.2,0.5,N/A
CA_n3_n41-n80,-,0.51,N/A
CA_n3_n78-n80,0.2,0.5,N/A
CA_n3_n78-n84,0.2,0.5,N/A
CA_n3_n79-n80,-,0.5,N/A
CA_n5_n78-n84,0.2,0.5,N/A
CA_n5_n78-n89,0.2,0.5,-
CA_n28_n41-n83,0.2,-,N/A
CA_n8_n78-n81,0.2,0.5,N/A
CA_n8_n78-n84,0.2,0.5,N/A
CA_n28_n79-n83,0.2,0.5,N/A
CA_n41_n79-n80,0.5,0.5,N/A
CA_n41_n79-n83,0.5,0.5,N/A
CA_n41_n79-n95,-,0.5,N/A
CA_n41_n79-n97,-,0.8,N/A
CA_n41_n79-n98,-,0.5,N/A
CA_n41_n95-n98,-,N/A,N/A
CA_n78_n1-n80,0.5,0.2,N/A
CA_n78_n1-n81,0.5,-,N/A
CA_n78_n1-n89,0.5,0.2,N/A
CA_n78_n3-n84,0.5,0.2,N/A
CA_n78_n5-n84,0.5,0.2,N/A
CA_n78_n8-n84,0.5,0.2,N/A
CA_n79_n41-n80,0.5,0.5,N/A
CA_n78_n80-n84,0.5,N/A,N/A
CA_n78_n81-n84,0.5,N/A,N/A
CA_n78_n84-n89,0.5,N/A,N/A
CA_n79_n41-n83,0.5,0.5,N/A
CA_n79_n41-n95,-,0.5,N/A
CA_n79_n41-n97,-,0.8,N/A
CA_n79_n41-n98,-,0.5,N/A
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 2:“-” denotes ΔRIB,c = 0 and ΔRIB,c is not applicable to SUL band(s).NOTE 3:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1_n78-n80 the order of band is n1, n78 and n80.",,,
