Inter-band CA combination,"ΔRIB,c for NR bands (dB)7",,,
,Component band in order of bands in configuration8,,,
CA_n1-n3-n5-n28,0.2,0.2,0.2,0.2
CA_n1-n3-n5-n78,0.2,0.2,-,0.5
CA_n1-n3-n7-n8,-,-,-,0.2
CA_n1-n3-n7-n26,-,-,-,0.2
CA_n1-n3-n7-n28,-,-,-,0.2
CA_n1-n3-n7-n40,0.2,0.2,0.2,0.3
CA_n1-n3-n7-n67,-,-,-,0.2
CA_n1-n3-n7-n77,0.3,0.3,0.3,0.5
CA_n1-n3-n7-n78,0.3,0.3,0.3,0.5
CA_n1-n3-n7-n79,0.2,-,0.2,0.5
CA_n1-n3-n7-n105,0.2,-,0.2,0.3
CA_n1-n3-n8-n41,0.2,0.2,0.2,05 / 0.56
CA_n1-n3-n8-n77,0.2,0.2,0.2,0.5
CA_n1-n3-n8-n78,0.2,0.2,0.2,0.5
CA_n1-n3-n8-n78,0.2,0.2,0.2,0.5
CA_n1-n3-n18-n28,-,-,-,0.2
CA_n1-n3-n18-n41,-,-,-,05 / 0.56
CA_n1-n3-n18-n77,0.2,0.2,-,0.5
CA_n1-n3-n20-n41,-,-,-,05 / 0.56
CA_n1-n3-n20-n67,-,-,-,0.2
CA_n1-n3-n20-n71,0.2,0.2,0.4,0.4
CA_n1-n3-n20-n75,-,-,-,0.2
CA_n1-n3-n20-n77,0.2,0.2,-,0.5
CA_n1-n3-n20-n78,0.2,0.2,-,0.5
CA_n1-n3-n26-n78,0.2,0.2,0.2,0.5
CA_n1-n3-n28-n38,-,-,0.2,-
CA_n1-n3-n28-n40,-,-,0.2,0.3
CA_n1-n3-n28-n41,-,-,0.2,05 / 0.56
CA_n1-n3-n28-n75,-,-,0.2,0.2
CA_n1-n3-n28-n77,0.2,0.2,0.2,0.5
CA_n1-n3-n28-n78,0.2,0.2,0.2,0.5
CA_n1-n3-n28-n79,-,-,0.2,0.5
CA_n1-n3-n40-n41,-,-,-,05 / 0.56
CA_n1-n3-n40-n77,0.3,0.3,0.3,0.5
CA_n1-n3-n40-n78,0.2,0.2,0.3,0.5
CA_n1-n3-n40-n105,0.3,0.3,0.3,0.3
CA_n1-n3-n41-n71,-,-,05 / 0.56,-
CA_n1-n3-n41-n77,0.2,0.2,05 / 0.56,0.5
CA_n1-n3-n41-n78,0.2,0.2,05 / 0.56,0.5
CA_n1-n3-n71-n77,0.2,0.2,0.2,0.5
CA_n1-n3-n71-n78,-,-,0.2,0.5
CA_n1-n3-n67-n78,0.2,0.2,0.2,0.5
CA_n1-n3-n75-n78,-,-,-,0.5
CA_n1-n3-n77-n79,0.2,0.2,0.5,0.5
