UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD(NOTE 7),MSD(NOTE 8),UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),(dB),,
n2,n48,5,15,12,10,10.6,13.1,NOTE 6,UL2/DL1near-miss
n2,n77,5,15,12,10,26.9,30.6,NOTE 2,UL2/DL1direct-hit
n2,n77,5,15,12,100,16.7,20.2,NOTE 2,UL2/DL1direct-hit
n3,n78,5,15,12,10,27.1,32.3,NOTE 2,UL2/DL1direct-hit
n3,n78,5,15,12,100,16.6,20.8,NOTE 2,UL2/DL1direct-hit
n5,n778,5,15,6,10,13.5,16.5,NOTE 4,UL4/DL1direct-hit
n5,n778,5,15,6,100,4.5,5.6,NOTE 4,UL4/DL1direct-hit
n5,n778,5,15,5,10,13.4,16.4,NOTE 5,UL5/DL1direct-hit
n5,n778,5,15,5,100,4.5,5.6,NOTE 5,UL5/DL1direct-hit
n8,n41,5,15,8,10,15.9,20,NOTE 3,UL3/DL1direct-hit
n8,n41,5,15,8,100,6.5,9.5,NOTE 3,UL3/DL1direct-hit
n8,n79,5,15,5,10,14.9,19,NOTE 5,UL5/DL1direct-hit
n8,n79,5,15,5,100,6.2,8.4,NOTE 5,UL5/DL1direct-hit
n14,n77,5,15,5,10,13.1,16.5,NOTE 5,UL5/DL1direct-hit
n14,n77,5,15,5,100,4.4,5.7,NOTE 5,UL5/DL1direct-hit
n25,n77,5,15,12,10,26.9,31.9,NOTE 2,UL2/DL1direct-hit
n25,n77,5,15,12,100,16.8,20.8,NOTE 2,UL2/DL1direct-hit
n28,n74,5,15,12,5,31.1,34.1,NOTE 2,UL2/DL1direct-hit
n28,n74,5,15,12,20,21,24,NOTE 2,UL2/DL1direct-hit
n66,n48,5,15,12,5,30.1,33.1,NOTE 2,UL2/DL1direct-hit
n66,n48,5,15,12,10012,16.8,19.8,NOTE 2,UL2/DL1direct-hit
n66,n77,5,15,12,10,26.9,31.9,NOTE 2,UL2/DL1direct-hit
n66,n77,5,15,12,100,16.7,20.8,NOTE 2,UL2/DL1direct-hit
n70,n77,5,15,12,10,26.9,29.8,NOTE 2,UL2/DL1direct-hit
n70,n77,5,15,12,100,16.7,19.5,NOTE 2,UL2/DL1direct-hit
n71,"n2510,11",5,15,8,5,9.4,12.9,NOTE 3,UL3/DL1direct-hit
n71,n41,5,15,6,10,13.6,17.8,NOTE 4,UL4/DL1direct-hit
n71,n41,5,15,6,100,5.1,6.1,NOTE 4,UL4/DL1direct-hit
n71,n70,5,15,8,5,12.5,15.1,NOTE 3,UL3/DL1direct-hit
n71,n70,5,15,8,25,5.9,7.4,NOTE 3,UL3/DL1direct-hit
n71,n77,5,15,5,10,13.2,17.4,NOTE 5,UL5/DL1direct-hit
n77,n18,10,15,25,5,7.7,,NOTE 5,UL1/DL4 13
n77,n18,10,15,25,15,4.1,,NOTE 5,UL1/DL4 13
n85,n77,5,15,5,10,13.2,17.4,NOTE 5,UL5/DL1direct-hit
n85,n77,5,15,5,100,1.3,1.7,NOTE 5,UL5/DL1direct-hit
"NOTE 1:VoidNOTE 2:The requirements should be verified for UL NR-ARFCN of the aggressor  (lower) band (superscript LB) such that  in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 3:The requirements should be verified for UL NR ARFCN of the aggressor (lower) band (superscript LB) such that  in MHz and  with the carrier frequency in the victim (higher) band in MHz and the channel bandwidth configured in the low band.NOTE 4:The requirements should be verified for UL NR-ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 5:The requirements should be verified for UL NR-ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 6:The near-miss requirements are only applicable when direct-hit requirements do not apply. These requirements should be verified for downlink channel bandwidths no larger than 10 MHz and with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 7:Applicable to UEs supporting PC2 with 1Tx.NOTE 8:Applicable to UEs supporting PC2 with 2Tx.NOTE 9:These requirements apply when the upper edge frequency of the 5 MHz uplink channel in Band n71 is located at 668 MHz and the downlink channel in Band n25 is located with its upper edge at 1995 MHz.NOTE 10:The direct-hit requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd / 3rd / 4th / 5th transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band. The requirements should be verified using RBstart = floor((NRB-LCRB)/2), where floor(x) is the greatest integer less than or equal to x, and where the UL parameters NRB and LCRB are respectively, the transmission bandwidth configuration and the number of RB’s for the specified UL band channel bandwidth and the UL band subcarrier spacing.NOTE 11:Void.NOTE 12:For these bandwidths, the minimum requirements are restricted to operation when carrier is configured as a downlink carrier part of CA configuration.NOTE 13:For a UE which supports this band combination only when the Band n77 frequency range restriction of 3400 – 4100 MHz applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.±10+BWChannelHB/2",,,,,,,,,
