Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CAConfiguration,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_n1-n78,n1,1950,5,25,2140,26.4,FDD,IMD4
,n78,3710,10,50,3710,N/A,TDD,N/A
CA_n2-n77,n2,1855,5,25,1935,35.2,FDD,IMD24
,n77,3790,10,50,3790,N/A,TDD,N/A
,n2,1885,5,25,1965,28.0,FDD,IMD5
,n77,3810,10,50,3810,N/A,TDD,N/A
CA_n3-n78,n3,1750,5,25,1845,35.2,FDD,IMD24
,n78,3595,10,50,3595,N/A,TDD,N/A
CA_n5-n772,n5,844,5,25,889,25.5,FDD,IMD4
,n77,3421,10,50,3421,N/A,TDD,N/A
,n5,826.5,5,25,871.5,24.3,FDD,IMD5
,n77,4177.5,10,50,4177.5,N/A,TDD,N/A
,n5,N/A,5,N/A,880,22.6,FDD,IMD4
,n7712,3410,10,1 (RBstart=25),3410,N/A,TDD,N/A
,,3850,10,1 (RBstart=25),3850,,,
CA_n7-n77,n7,2540,5,25,2660,29.7,FDD,IMD4
,n77,3870,10,50,3870,N/A,TDD,N/A
CA_n7-n78,n7,2520,5,25,2640,29.7,FDD,IMD4
,n78,3780,10,50,3780,N/A,TDD,N/A
CA_n25-n41,n25,N/A,5,N/A,1992.5,22.5,FDD,IMD7
,n41,2545,90,1 (RBstart=0),2545,N/A,TDD,N/A
,,2640,100,1 (RBstart=221),2640,,,
,n25,1860,5,25,1940,27.3,FDD,IMD3
,n41,2501,10,1 (RBstart = 25),2501,N/A,TDD,N/A
,,2556,100,1 (RBstart = 208),2556,,,
CA_n25-n77,n25,1855,5,25,1935,37.5,FDD,IMD24
,n77,3790,10,50,3790,N/A,TDD,N/A
,n25,1885,5,25,1965,29.8,FDD,IMD5
,n77,3790,10,50,3790,N/A,TDD,N/A
CA_n26-n78,n26,836.5,5,25,881.5,25.5,FDD,IMD4
,n78,3391,10,50,3391,N/A,TDD,N/A
CA_n28-n78,n28,705.5,5,25,760.5,24.3,FDD,IMD5
,n78,3582.5,10,50,3582.5,N/A,TDD,N/A
CA_n41-n66,n41,2545,90,1 (RBstart=0),2545,N/A,TDD,N/A
,,2640,100,1 (RBstart=171),2640,,,
,n66,N/A,5,N/A,2197.5,38.5,FDD,IMD5
CA_n41-n71,n41,2614,10,50,2614,N/A,TDD,N/A
,n71,665,5,25,619,33.5,FDD,IMD4
CA_n41-n77,n41,2545,60,1 (RBstart=0),2545,N/A,TDD,N/A
,,2625,100,1 (RBstart=272),2625,,,
,n77,N/A,10,N/A,3305,13.6,TDD,IMD9
CA_n66-n77,n66,1775,5,25,2175,40.0,FDD,IMD2
,n77,3950,10,50,3950,N/A,TDD,N/A
,n66,1760,5,25,2160,26.0,FDD,IMD5
,n77,3720,10,50,3720,N/A,TDD,N/A
CA_n70-n77,n70,1702.5,5,25,2002.5,41.8,FDD,IMD2
,n77,3705,10,50,3705,N/A,TDD,N/A
,n70,1697.5,5,25,1997.5,27.9,FDD,IMD5
,n77,3545,10,50,3545,N/A,TDD,N/A
CA_n71-n77,n71,681.5,5,25,635.5,16.0,FDD,IMD53
,n77,3361.5,10,50,3361.5,N/A,TDD,N/A
CA_n77-n85,n77,3540,10,50,3540,N/A,TDD,N/A
,n85,702,5,20,732,16.2,FDD,IMD5
"NOTE 1:This band combination is specified for inter-band UL CA with UL MIMO or Tx diversity capabilites, and the transmitter shall be set at min (+23 dBm, PCMAX_L,f,c) for the band with 1Tx antenna connector as defined in clause 6.2A.4, and set at min (+27.8 dBm, PCMAX_L,f,c) for the band with 2Tx antenna connectors as defined in clause 6.2H.3 or 6.2L.3.4.NOTE 2:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 3:In current release the maximum separation bandwidth class is 600MHz, therefore, no IMD2 MSD requirement apply for this CA configuration when two uplink sub blocks are assigned within CA_77(2A).NOTE 4:This band is subject to IMD4 also which MSD is not specified.",,,,,,,,
