UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),,
n46,n7,20,15,25,5,8.3,NOTE 7,UL1/DL2
n46,n7,20,15,25,30,2.8,NOTE 7,UL1/DL2
n46,n48,20,15,12,10,23.8,NOTE 2,UL2/DL3
n46,n48,20,15,12,100,10.7,NOTE 2,UL2/DL3
n46,n78,20,15,12,10,18.1,NOTE 2,UL2/DL3
n46,n78,20,15,12,100,8.4,NOTE 2,UL2/DL3
n96,n48,20,15,25,10,28,NOTE 2,UL1/DL2
n96,n48,20,15,25,15,23,NOTE 2,UL1/DL2
"NOTE 1:Void.NOTE 2:The requirements should be verified for UL NR-ARFCN of the aggressor (high) band (superscript HB) such that in MHz and    with carrier frequency in the victim (lower) band in MHz and  the channel bandwidth configured in the higher band.NOTE 3:These requirements apply when there is at least one individual RE within the downlink transmission bandwidth of the victim (lower) band for which the 3rd harmonic is within the uplink transmission bandwidth or the uplink adjacent channel’s transmission bandwidth of an aggressor (higher) band.NOTE 4:Void.NOTE 5:Void.NOTE 6:Void.NOTE 7:The requirements should be verified for UL NR-ARFCN of the aggressor (higher) band (superscript HB) such that   in MHz and  with  the carrier frequency in the victim (lower) band and  the channel bandwidth configured in the higher band.NOTE 8: The requirements should be verified using RBstart = floor((NRB-LCRB)/2), where floor(x) is the greatest integer less than or equal to x, and where the UL parameters NRB and LCRB are respectively, the transmission bandwidth configuration and the number of RB’s for the specified UL band channel bandwidth and the UL band subcarrier spacing.FUL_lowLB+BWChannelLB/2≤fULLB≤FUL_highLB-BWChannelLB/2FUL_lowHB+BWChannelHB/2≤fULHB≤FUL_highHB-BWChannelHB/2",,,,,,,,
