Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CAConfiguration,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_n1-n3-n78,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,N/A,5,N/A,1830,38.7,FDD,IMD2
,n78,3780,10,50,3780,N/A,TDD,N/A
CA_n1-n7-n78,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2627.5,25.2,FDD,IMD4
,n78,3305,10,50,3305,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,29.5,FDD,IMD4
,n7,2510,10,50,2630,N/A,FDD,N/A
,n78,3580,10,50,3580,N/A,TDD,N/A
CA_n1-n26-n78,n1,N/A,5,N/A,2122,31.9,FDD,IMD3
,n26,829,5,25,874,N/A,FDD,N/A
,n78,3780,10,50,3780,N/A,TDD,N/A
,n1,1975,5,25,2165,N/A,FDD,N/A
,n26,N/A,5,N/A,885,23.9,FDD,IMD5
,n78,3405,10,50,3405,N/A,TDD,N/A
CA_n1-n28-n78,n1,N/A,5,N/A,2150,29.4,FDD,IMD3
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3630,10,50,3630,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n28,N/A,5,N/A,794,21.3,FDD,IMD5
,n78,3352,10,50,3352,N/A,TDD,N/A
CA_n2-n5-n77,n2,1907.5,5,25,1987.5,N/A,FDD,N/A
,n5,N/A,5,N/A,887.5,30.3,FDD,IMD55
,n77,3305,10,50,3305,N/A,TDD,N/A
,n2,N/A,5,N/A,1987,34.5,FDD,IMD35
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n77,3680,10,50,3680,N/A,TDD,N/A
CA_n2-n66-n77,n2,1855,5,25,1935,N/A,FDD,N/A
,n66,N/A,5,N/A,2115,41.2,FDD,"IMD21,2"
,n77,3970,10,50,3970,N/A,TDD,N/A
