UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),,
n1,n1053,5,15,25,5,26.8,NOTE 4,UL1/DL3
n1,n713,5,15,25,5,26.8,NOTE 4,UL1/DL3
n2,n713,5,15,25,5,26.8,NOTE 4,UL1/DL3
n2,n713,5,15,25,20,15.6,NOTE 4,UL1/DL3
n3,n5,5,15,25,5,4,NOTE 7,UL1/DL2
n3,n26,5,15,25,5,3.7,NOTE 7,UL1/DL2
n7,n263,25,15,128,5,2.0,NOTE 10,UL1/DL3near miss
n7,n71,5,15,25,5,5.7,NOTE 8,UL1/DL4
n25,n41,5,15,6,10,1.3,NOTE 9,UL4/DL3
n25,n713,5,15,25,5,26.8,NOTE 4,UL1/DL3
n25,n713,5,15,25,20,15.6,NOTE 4,UL1/DL3
n30,n14,10,15,50,5,1.6,NOTE 15,UL1/DL3near miss
n39,n41,5,15,6,10,9.3,NOTE 9,UL4/DL3
n39,n41,5,15,6,100,2.2,NOTE 9,UL4/DL3
n40,n203,10,15,25,5,27.8,NOTE 4,UL1/DL3
n40,n203,10,15,25,20,20.6,NOTE 4,UL1/DL3
n40,n283,10,15,25,5,37.8,NOTE 4,UL1/DL3
n40,n283,10,15,25,20,30.1,NOTE 4,UL1/DL3
n41,n53,10,15,25,5,24.3,NOTE 4,UL1/DL3
n41,n183,10,15,25,5,26.3,NOTE 4,UL1/DL3
n41,n183,10,15,25,15,21.3,NOTE 4,UL1/DL3
n41,n39,10,15,8,5,4.3,NOTE 12,UL3/DL4
n41,n39,10,15,8,40,0.8,NOTE 12,UL3/DL4
n41,n48,10,15,6,5,12.3,NOTE 9,UL4/DL3
n41,n48,10,15,6,100,2.3,NOTE 9,UL4/DL3
n41,n77,10,15,6,10,8.9,NOTE 9,UL4/DL3
n41,n77,10,15,6,100,2.1,NOTE 9,UL4/DL3
n41,n78,10,15,6,10,9.3,NOTE 9,UL4/DL3
n41,n78,10,15,6,100,2.3,NOTE 9,UL4/DL3
n46,n7,20,15,25,5,10.9,NOTE 7,UL1/DL2
n46,n7,20,15,25,50,1,NOTE 7,UL1/DL2
n46,n48,20,15,12,5,26.8,NOTE 2,UL2/DL3
n46,n48,20,15,12,100,13.5,NOTE 2,UL2/DL3
n46,n77,20,15,12,10,20.6,NOTE 2,UL2/DL3
n46,n77,20,15,12,100,10.6,NOTE 2,UL2/DL3
n46,n78,20,15,12,10,21.1,NOTE 2,UL2/DL3
n46,n78,20,15,12,100,11.1,NOTE 2,UL2/DL3
n48,n5,10,15,25,5,5.7,NOTE 8,UL1/DL4
n48,n12,10,15,25,5,31,NOTE 5,UL1/DL5
n48,n12,10,15,25,15,18,NOTE 5,UL1/DL5
n48,n26,10,15,25,5,5.4,NOTE 8,UL1/DL4
n48,n26,10,15,25,20,1,NOTE 8,UL1/DL4
n48,n29,10,15,25,5,31,NOTE 5,UL1/DL5
n48,n29,10,15,25,10,27.8,NOTE 5,UL1/DL5
n77,n2,10,15,25,5,6.7,NOTE 7,UL1/DL2
n77,n2,10,15,25,20,2.8,NOTE 7,UL1/DL2
n77,n3,10,15,25,5,5.7,NOTE 7,UL1/DL2
n77,n3,10,15,25,20,2.2,NOTE 7,UL1/DL2
n77,n5,10,15,25,5,5.7,NOTE 8,UL1/DL4
n77,n5,10,15,25,20,0.8,NOTE 8,UL1/DL4
n77,n7,10,15,12,5,14.7,NOTE 2,UL2/DL3
n77,n7,10,15,12,50,2.2,NOTE 2,UL2/DL3
n77,n8,10,15,25,5,5.7,NOTE 8,UL1/DL4
n77,n8,10,15,25,20,0.8,NOTE 8,UL1/DL4
n77,n12,10,15,25,5,31,NOTE 5,UL1/DL5
n77,n12,10,15,25,15,18,NOTE 5,UL1/DL5
n77,n13,10,15,25,5,31,NOTE 5,UL1/DL5
n77,n13,10,15,25,10,27.8,NOTE 5,UL1/DL5
n77,n14,10,15,25,5,31,NOTE 5,UL1/DL5
n77,n14,10,15,25,10,27.8,NOTE 5,UL1/DL5
n77,n20,10,15,25,5,31,NOTE 5,UL1/DL5
n77,n20,10,15,25,20,23.5,NOTE 5,UL1/DL5
n77,n25,10,15,25,5,5.6,NOTE 7,UL1/DL2
