NR Band / SCS of SUL band / Channel bandwidth of the DL band / NRB,,,,,,,,,,,,,,,
DL band,SUL band,SCS of SUL band(kHz),5MHz,10 MHz,15 MHz,20 MHz,25 MHz,30 MHz,40 MHz,50 MHz,60 MHz,70MHz,80 MHz,90 MHz,100 MHz
n1,n80,15,160,160,160,160,160,160,160,,,,,,
n1,n81,15,100,100,100,100,100,100,100,100,,,,,
n1,n841,15,25,50,75,100,128,128,128,128,,,,,
n1,n89,15,100,100,100,100,100,100,100,100,,,,,
n3,n801,15,25,50,50,50,50,50,50,,,,,,
n3,n84,15,100,100,100,100,100,100,100,,,,,,
n5,n84,15,100,100,100,100,,,,,,,,,
n8,n84,15,100,100,100,100,,,,,,,,,
n8,n811,15,25,25,20,20,,,,,,,,,
n24,n991,15,25,50,,,,,,,,,,,
n28,n831,15,25,25,25,25,,25,,,,,,,
n41,n80,15,,160,160,160,,160,160,160,160,,160,160,160
n41,n81,15,,100,100,100,,,100,100,100,,100,100,100
n41,n83,15,,100,100,100,,100,100,100,100,,100,100,100
,,30,,50,50,50,,50,50,50,50,,50,50,50
n41,n95,15,,75,75,75,,75,75,75,75,,75,75,75
n41,n97,30,,216,216,216,,216,216,216,216,216,216,216,216
n41,n98,15,,216,216,216,,216,216,216,216,,216,216,216
n41,n99,15,,50,50,50,,50,50,50,50,,50,50,50
n48,n99,15,,50,50,50,,50,50,50,50,,50,50,50
n77,n80,15,,160,160,160,,,160,160,160,,160,160,160
n77,n84,15,,100,100,100,,,100,100,100,,100,100,100
n77,n99,15,,50,50,50,50,50,50,50,50,50,50,50,50
n78,n80,15,,160,160,160,160,160,160,160,160,160,160,160,160
n78,n81,15,,100,100,100,100,100,100,100,100,100,100,100,100
n78,n82,15,,100,100,100,,,100,100,100,,100,100,100
n78,n83,15,,100,100,100,100,100,100,100,100,100,100,100,100
n78,n84,15,,100,100,100,100,100,100,100,100,100,100,100,100
n78,n86,15,,216,216,216,,,216,216,216,,216,216,216
n78,n89,15,,100,100,100,100,100,100,100,100,100,100,100,100
n79,n80,15,,,,,,,160,160,160,,160,,160
n79,n83,15,,100,,100,,100,100,100,100,100,100,100,100
,,30,,50,,50,,50,50,50,50,50,50,50,50
n79,n81,15,,,,,,,100,100,100,,100,,100
n79,n84,15,,,,,,,100,100,100,,100,,100
n79,n95,15,,,,,,,75,75,75,,75,,75
n79,n97,15,,,,,,,270,270,270,,270,,270
n79,n98,15,,,,,,,216,216,216,,216,,216
NOTE 1:The Tx-Rx carrier center frequency separation between SUL band and DL band is the same as the Tx-Rx carrier center frequency separation of DL band specified in Table 5.4.4-1 from TS 38.101-1. The channel bandwidth of SUL band is the same as DL band. This restriction of REFSENS configurations applies also for these carriers when applicable SUL configuration is part of a higher order configuration.,,,,,,,,,,,,,,,
