Operating band / SCS / Channel bandwidth,,,,,
Operating Band,SCS kHz,5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm)
n1,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
,60,,-95.0,-92.9,-91.7
n2,15,-96.3,-93.1,-91.3,-90.0
,30,,-93.5,-91.5,-90.2
,60,,-93.8,-91.7,-90.5
n3,15,-95.3,-92.1,-90.3,-89.0
,30,,-92.5,-90.5,-89.2
,60,,-92.8,-90.7,-89.5
n5,15,-96.3,-93.1,-91.3,-90.0
,30,,-93.5,-91.5,-90.2
n7,15,-96.3,-93.1,-91.3,-90.0
,30,,-93.5,-91.5,-90.2
,60,,-93.8,-91.7,-90.5
n8,15,-95.3,-92.1,-90.3,-89.0
,30,,-92.5,-90.5,-89.2
n12,15,-95.3,-92.1,-90.3,
,30,,-92.5,-90.5,
n13,15,-95.3,-92.1,,
,30,,-92.5,,
n14,15,-95.3,-92.1,,
,30,,-92.5,,
n18,15,-97.5,-94.3,-92.5,
,30,,-94.7,-92.7,
n20,15,-95.3,-92.1,-90.3,-89.0
,30,,-92.5,-90.5,-89.2
n24,15,-97.5,-94.3,,
,30,,-94.7,,
,60,,-95.0,,
n25,15,-94.8,-91.6,-89.8,-88.5
,30,,-92.0,-90.0,-88.7
,60,,-92.3,-90.2,-89.0
n26,15,-95.8,-92.6,-90.8,-89.5
,30,,-93.0,-91.0,-89.7
n28,15,-96.8,-93.6,-91.8,-90.5
,30,,-94.0,-92.0,-90.7
n30,15,-97.0,-93.8,,
,30,,-94.2,,
n65,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
,60,,-95.0,-92.9,-91.7
n66,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
,60,,-95.0,-92.9,-91.7
n70,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
,60,,-95.0,-92.9,-91.7
n71,15,-95.5,-92.3,-90.5,-89.2
,30,,-92.7,-90.7,-89.4
n74,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
,60,,-95.0,-92.9,-91.7
n85,15,-95.3,-92.1,-90.3,
,30,,-92.5,-90.5,
n91,15,-97.5,,,
n92,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
n93,15,-97.5,,,
n94,15,-97.5,-94.3,-92.5,-91.2
,30,,-94.7,-92.7,-91.4
n105,15,-95.51,-92.3,-90.5,-89.2
,30,,-92.7,-90.7,-89.4
NOTE 1:DL channels overlapping the 612-617MHz range have 0.5dB added to the REFSENS,,,,,
