Operating Band,3MHz(dB),5MHz(dB),7MHz(dB),10MHz(dB),15MHz(dB),20MHz(dB),25MHz(dB),30 MHz (dB),35 MHz (dB),40MHz(dB),45 MHz (dB),50MHz(dB)
n1,,0,,0,0,0,0,0,-,0,0,0
n2,,0.8,,0.9,1.1,1.2,1.3,2.74,2.84,3.54,,
n3,,0.5,,0.5,0.5,0.5,0.6,0.8,1.1,1.54,2.34,2.84
n5,0.5,0.5,0.6,0.7,0.8,1.54,2.64,,,,,
n7,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2.04
n8,,0.5,,0.7,0.84,2.34,2.84,3.24,3.14,,,
n13,,0.8,,0.9,,,,,,,,
n14,,0.6,,0.8,,,,,,,,
n25,,0.8,,0.8,0.9,1.1,1.3,2.74,2.84,3.54,3.74,
n26,0.5,0.5,0.6,0.7,0.8,2.24,2.64,2.84,,,,
n28,0.6,0.6,,0.7,0.8,1.34,2.44,2.94,,34,,
n66,,0,,0,0,0,0,0,0,0,0,
n71,,0.5,,0.9,0.9,2.24,2.54,"2.52,42.43,4","2.92,43.13,4",,,
n70,,0,,0,0,0,0,,,,,
n85,0.6,0.6,,1.0,2.64,,,,,,,
NOTE 1:The transmitter shall be set to PUMAX as defined in clause 6.2.4NOTE 2:Applies to UEs that support a maximum uplink BW of 20 MHz and to UEs that support a maximum uplink BW of 25MHz in this band.NOTE 3:Applies to UEs that support optional symmetric UL/DL for this BW.NOTE 4:The requirement shall be met with uplink transmission bandwidth equal to but not less than that specified in Table 7.3.2-3.,,,,,,,,,,,,
