Operating band / SCS / Channel bandwidth / REFSENS,,,,
Operating band,SCSkHz,Channel bandwidth (MHz),REFSENS (dBm)8,Duplex Mode
n297,15,"5,10",-97 + 10log10(NRB/25),SDL
,30,10,-94.1 + 10log10(NRB/24),
n34,15,"5, 10, 15",-100 + 10log10(NRB/25),TDD
,30,"10, 15",-97.1 + 10log10(NRB/24),
,60,"10, 15",-97.5 + 10log10(NRB/11),
n381,15,"5, 10, 15, 20, 25, 30, 40",-100 + 10log10(NRB/25),TDD
,30,"10, 15, 20, 25, 30, 40",-97.1 + 10log10(NRB/24),
,60,"10, 15, 20, 25, 30, 40",-97.5 + 10log10(NRB/11),
n39,15,"5, 10, 15, 20, 25, 30, 35, 40",-100 + 10log10(NRB/25),TDD
,30,"10, 15, 20, 25, 30, 35, 40",-97.1 + 10log10(NRB/24),
,60,"10, 15, 20, 25, 30, 35, 40",-97.5 + 10log10(NRB/11),
n40,15,"5, 10, 15, 20, 25, 30, 40, 50",-100 + 10log10(NRB/25),TDD
,30,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",-97.1 + 10log10(NRB/24),
,60,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",-97.5 + 10log10(NRB/11),
"n411, n901",15,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",-94.8 + 10log10(NRB/52),TDD
,30,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",-95.1 + 10log10(NRB/24),
,60,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",-95.5 + 10log10(NRB/11),
n481,15,"5, 10, 15, 20, 30, 40, 50",-99 + 10log10(NRB/25),TDD
,30,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",-96.1 + 10log10(NRB/24),
,60,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",-96.5 + 10log10(NRB/11),
n50,15,"5, 10, 15, 20, 30, 40, 50",-100 + 10log10(NRB/25),TDD
,30,"10, 15, 20, 30, 40, 50, 60, 80",-97.1 + 10log10(NRB/24),
,60,"10, 15, 20, 30, 40, 50, 60, 80",-97.5 + 10log10(NRB/11),
n51,15,5,-100,TDD
n53,15,"5, 10",-100 + 10log10(NRB/25),TDD
,30,10,-97.1,
,60,10,-97.5,
n54,15,5,-100,TDD
n677,15,"5, 10, 15, 20",-100 + 10log10(NRB/25),SDL
,30,"10, 15, 20",-97.1 + 10log10(NRB/24),
n757,15,"5,10,15,20,25,30,40,50",-100 + 10log10(NRB/25),SDL
,30,"10,15,20,25,30,40,50",-97.1 + 10log10(NRB/24),
,60,"10,15,20,25,30,40,50",-97.5 + 10log10(NRB/11),
n767,15,5,-95.3 + 10log10(NRB/52),SDL
"n771,4",15,"10, 15, 20, 25, 30, 40, 50",-95.3 + 10log10(NRB/52),TDD
,30,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",-95.6 + 10log10(NRB/24),
,60,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",-96.0 + 10log10(NRB/11),
n781,15,"10, 15, 20, 25, 30, 40, 50",-95.8 + 10log10(NRB/52),TDD
,30,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",-96.1 + 10log10(NRB/24),
,60,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",-96.5 + 10log10(NRB/11),
n791,15,"10, 20, 30, 40, 50",-95.8 + 10log10(NRB/52),TDD
,30,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",-96.1 + 10log10(NRB/24),
