Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_n1-n3-n28,n1,1975,5,25,2165,N/A,FDD,N/A
,n28,710.5,5,25,765.5,N/A,FDD,N/A
,n3,N/A,5,N/A,1818.5,4.0,FDD,IMD5
,n3,1780,5,25,1875,N/A,FDD,N/A
,n28,710.5,5,25,765.5,N/A,FDD,N/A
,n1,N/A,5,N/A,2139,11.0,FDD,IMD4
CA_n1-n3-n40,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,1735,5,25,1830,N/A,FDD,N/A
,n40,N/A,10,N/A,2380,8.0,TDD,IMD5
CA_n1-n3-n41,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n3,1712.5,5,25,1807.5,N/A,FDD,N/A
,n41,N/A,10,N/A,2507.5,5.0,TDD,IMD5
CA_n1-n3-n71,n1,1970,5,25,2160,N/A,FDD,N/A
,n3,N/A,5,N/A,1855,4,FDD,IMD5
,n71,695,5,25,649,N/A,FDD,N/A
,n1,N/A,5,N/A,2160,5,FDD,IMD4
,n3,1775,5,25,1870,N/A,FDD,N/A
,n71,695,5,25,649,N/A,FDD,N/A
CA_n1-n3-n75,n1,1960,5,25,2150,N/A,FDD,N/A
,n3,1720,5,25,1815,N/A,FDD,N/A
,n75,N/A,5,N/A,1480,24.2,SDL,IMD34
CA_n1-n3-n77,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,1750,5,25,1845,N/A,FDD,N/A
,n77,N/A,10,N/A,3700,28.4,TDD,IMD22
,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,N/A,5,N/A,1807.5,31.5,FDD,"IMD21,2"
,n77,3757.5,10,50,3757.5,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,31.0,FDD,IMD21
,n3,1775,5,25,1870,N/A,FDD,N/A
,n77,3915,10,50,3915,N/A,TDD,N/A
CA_n1-n3-n78,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,1750,5,25,1845,N/A,,N/A
,n78,N/A,10,N/A,3700,28.4,TDD,IMD22
,n1,1950,5,25,2140,N/A,FDD,N/A
,n3,N/A,5,N/A,1830,27.9,,IMD2
,n78,3780,10,50,3780,N/A,TDD,N/A
,n1,1925,5,25,2115,N/A,FDD,N/A
,n3,N/A,5,25,1875,N/A,15.3,IMD3
,n78,3300,100,1 (RBstart=203),3300,N/A,TDD,N/A
,,3400,100,1 (RBstart=67),3400,,,
CA_n1-n3-n79,n1,1930,5,25,2120,N/A,FDD,N/A
,n3,1720,5,25,1815,N/A,FDD,N/A
,n79,N/A,40,N/A,4950,4.7,TDD,IMD5
,n3,1750,5,25,1845,N/A,FDD,N/A
,n79,4860,40,216,4860,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,3.6,FDD,IMD5
CA_n1-n3-n105,n1,1970,5,25,2160,N/A,FDD,N/A
,n3,N/A,5,N/A,1855,4,FDD,IMD5
,n105,695,5,25,644,N/A,FDD,N/A
,n1,N/A,5,N/A,2160,5,FDD,IMD4
,n3,1775,5,25,1870,N/A,FDD,N/A
,n105,695,5,25,644,N/A,FDD,N/A
CA_n1-n5-n7,n1,1968,5,25,2158,N/A,FDD,N/A
,n7,2512,10,50,2632,N/A,FDD,N/A
,n5,N/A,5,N/A,880,1.0,FDD,IMD5
CA_n1-n5-n28,n1,N/A,5,N/A,2123,4,FDD,IMD5
,n5,829,5,25,874,N/A,FDD,N/A
,n28,738,5,25,793,N/A,FDD,N/A
,n1,1965,5,25,2155,N/A,FDD,N/A
,n5,N/A,5,N/A,875,4.6,FDD,IMD5
,n28,710,5,25,765,N/A,FDD,N/A
CA_n1-n5-n40,n1,N/A,5,N/A,2144,4.0,FDD,IMD5
