Inter-band CA combination,"ΔRIB,c for NR bands (dB)9",,
,Component band in order of bands in configuration10,,
CA_n1-n3-n8,0.2,0.2,0.5
CA_n1-n3-n28,-,-,0.2
CA_n1-n3-n38,0.2,0.2,-
CA_n1-n3-n41,-,-,05 / 0.56
CA_n1-n3-n71,0.3,0.3,0.3
CA_n1-n3-n78,0.2,0.2,0.5
CA_n1-n3-n77,0.2,0.2,0.5
CA_n1-n3-n79,-,-,0.5
CA_n1-n3-n105,0.3,0.3,0.3
CA_n1-n5-n8,-,0.4,0.4
CA_n1-n5-n28,-,0.2,0.2
CA_n1-n5-n40,-,0.2,-
CA_n1-n5-n78,0.2,0.2,0.5
CA_n1-n5-n79,0.2,0.2,0.5
CA_n1-n5-n105,-,0.2,0.3
CA_n1-n7-n8,-,-,0.2
CA_n1-n7-n20,-,0.5,-
CA_n1-n7-n28,-,-,0.2
CA_n1-n7-n40,-,0.3,0.8
CA_n1-n7-n77,0.2,0.2,0.5
CA_n1-n7-n78,0.2,0.2,0.5
CA_n1-n7-n79,0.2,0.2,0.5
CA_n1-n7-n105,-,-,0.3
CA_n1-n8-n28,-,0.2,0.2
CA_n1-n8-n40,-,0.2,0.5
CA_n1-n8-n41,-,0.2,0.5
CA_n1-n8-n77,-,0.2,0.5
CA_n1-n8-n78,-,0.2,0.5
CA_n1-n8-n79,-,0.2,0.5
CA_n1-n18-n77,-,-,0.5
CA_n1-n20-n28,-,0.2,0.2
CA_n1-n20-n41,-,0.2,-
CA_n1-n20-n67,-,0.2,0.2
CA_n1-n20-n71,0.3,0.6,0.6
CA_n1-n20-n75,0.3,0.6,0.6
CA_n1-n20-n77,-,-,0.5
CA_n1-n20-n78,-,-,0.5
CA_n1-n26-n78,0.2,0.2,0.5
CA_n1-n28-n38,-,0.2,-
CA_n1-n28-n40,-,0.2,-
CA_n1-n28-n41,-,0.2,-
CA_n1-n28-n46,-,-,0.5
CA_n1-n28-n75,-,0.2,-
CA_n1-n28-n77,0.2,0.2,0.5
CA_n1-n28-n78,-,0.2,0.5
CA_n1-n28-n102,0.2,0.2,0.5
CA_n1-n38-n78,-,-,0.5
CA_n1-n40-n41,-,0.8,0.3
CA_n1-n40-n75,-,0.8,-
CA_n1-n40-n77,-,-,0.5
CA_n1-n40-n78,-,-,0.5
CA_n1-n40-n79,-,0.5,0.5
CA_n1-n40-n105,-,-,0.3
CA_n1-n41-n75,-,0.5,-
CA_n1-n41-n77,0.2,-,0.5
CA_n1-n41-n78,0.2,-,0.5
CA_n1-n41-n79,-,0.5,0.5
CA_n1-n46-n78,-,-,0.5
CA_n1-n67-n78,-,-,0.5
CA_n1-n71-n77,-,0.2,0.5
CA_n1-n71-n78,-,0.2,0.5
CA_n1-n75-n78,-,-,0.5
CA_n1-n77-n79,0.2,0.5,-
CA_n1-n78-n79,-,0.5,-
CA_n1-n78-n102,0.2,0.5,0.5
CA_n1-n78-n105,-,0.5,0.2
CA_n2-n5-n30,0.4,-,0.5
CA_n2-n5-n41,-,0.2,-
CA_n2-n5-n48,0.2,-,0.5
CA_n2-n5-n66,0.3,-,0.3
CA_n2-n5-n77,0.2,0.5,0.5
CA_n2-n7-n71,-,-,0.2
CA_n2-n7-n66,0.3,0.5,0.5
CA_n2-n7-n77,0.2,-,0.5
