UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),,
n25,n41,5,15,6,10,2.2133.214,NOTE 8,UL4/DL3
n25,n713,5,15,25,5,29.51334.514,NOTE 7,UL1/DL3
n25,n713,5,15,25,20,18.21323.314,NOTE 7,UL1/DL3
n39,n41,5,15,6,10,8.6,NOTE 8,UL4/DL3
n39,n41,5,15,6,100,4.9,NOTE 8,UL4/DL3
n40,n28,10,15,25,5,40.8,NOTE 7,UL1/DL3
n40,n28,10,15,25,20,33.3,NOTE 7,UL1/DL3
n41,n186,10,15,25,5,29.3,NOTE 7,UL1/DL3
n41,n186,10,15,25,15,24.3,NOTE 7,UL1/DL3
n41,n39,10,15,8,5,6.1,NOTE 9,UL3/DL4
n41,n39,10,15,8,40,1.5,NOTE 9,UL3/DL4
n41,n77,10,15,6,10,11.6,NOTE 8,UL4/DL3
n41,n77,10,15,6,100,3.6,NOTE 8,UL4/DL3
n41,n78,10,15,6,10,12.1,NOTE 8,UL4/DL3
n41,n78,10,15,6,100,3.8,NOTE 8,UL4/DL3
n77,n2,10,15,25,5,9.2,NOTE 4,UL1/DL2
n77,n2,10,15,25,20,4.4,NOTE 4,UL1/DL2
n77,n3,10,15,25,5,8.1,NOTE 4,UL1/DL2
n77,n3,10,15,25,40,0.8,NOTE 4,UL1/DL2
n77,n5,10,15,25,5,8.1,NOTE 5,UL1/DL4
n77,n5,10,15,25,20,1.5,NOTE 5,UL1/DL4
n77,n7,10,15,12,5,17.7,NOTE 3,UL2/DL3
n77,n7,10,15,12,50,3.6,NOTE 3,UL2/DL3
n77,n8,10,15,25,5,8.1,NOTE 5,UL1/DL4
n77,n8,10,15,25,20,1.5,NOTE 5,UL1/DL4
n77,n12,10,15,25,5,34,NOTE 1,UL1/DL5
n77,n12,10,15,25,15,21,NOTE 1,UL1/DL5
n77,n13,10,15,25,5,34,NOTE 1,UL1/DL5
n77,n13,10,15,25,10,30.8,NOTE 1,UL1/DL5
n77,n14,10,15,25,5,34,NOTE 1,UL1/DL5
n77,n14,10,15,25,10,30.8,NOTE 1,UL1/DL5
n77,n25,10,15,25,5,7.9,NOTE 4,UL1/DL2
n77,n25,10,15,25,40,0.5,NOTE 4,UL1/DL2
n77,n28,10,15,25,5,34,NOTE 1,UL1/DL5
n77,n28,10,15,25,30,14.1,NOTE 1,UL1/DL5
n772,n29,10,15,25,5,34,NOTE 1,UL1/DL5
n772,n29,10,15,25,10,30.8,NOTE 1,UL1/DL5
n77,n30,10,15,12,5,13.2,NOTE 3,UL2/DL3
n77,n30,10,15,12,10,10.2,NOTE 3,UL2/DL3
n77,n40,10,15,12,5,17.5,NOTE 3,UL2/DL3
n77,n40,10,15,12,100,5.5,NOTE 3,UL2/DL3
n77,n41,10,15,12,10,14.5,NOTE 3,UL2/DL3
n77,n41,10,15,12,100,5.5,NOTE 3,UL2/DL3
n772,n70,N/A,N/A,N/A,N/A,N/A,NOTE 4,UL1/DL2
n77,n85,10,15,25,5,34,NOTE 1,UL1/DL5
n77,n85,10,15,25,15,21,NOTE 1,UL1/DL5
n78,n3,10,15,25,5,8.1,NOTE 4,UL1/DL2
n78,n3,10,15,25,40,0.8,NOTE 4,UL1/DL2
n78,n5,10,15,25,5,8.1,NOTE 5,UL1/DL4
n78,n5,10,15,25,20,1.5,NOTE 5,UL1/DL4
