Operating band / SCS (kHz) / Channel bandwidth (MHz) / Duplex mode,,,,,,,,,,,,,,,,,,,
Operating Band,SCS,3,5,7,10,15,20,25,30,35,40,45,50,60,70,80,90,100,Duplex Mode
n1,15,,25,,501,751,1001,1281,1281,,1281,1281,1281,,,,,,FDD
,30,,,,24,361,501,641,641,,641,641,641,,,,,,
,60,,,,101,18,24,301,301,,301,301,301,,,,,,
n2,15,,25,,501,501,501,501,481,401,401,,,,,,,,FDD
,30,,101,,24,241,241,241,241,201,201,,,,,,,,
,60,,,,101,101,101,101,101,101,101,,,,,,,,
n3,15,,25,,501,501,501,501,501,501,501,501,501,,,,,,FDD
,30,,,,24,241,241,241,241,241,241,241,241,,,,,,
,60,,,,101,101,101,101,101,101,101,101,101,,,,,,
n5,15,15,25,251,251,201,201,Note 5,,,,,,,,,,,FDD
,30,,,,121,101,101,Note 5,,,,,,,,,,,
n7,15,,25,,501,751,751,721,641,451,451,,451,,,,,,FDD
,30,,,,24,361,361,361,321,201,201,,201,,,,,,
,60,,,,101,18,181,181,161,101,101,,101,,,,,,
n8,15,,25,,251,201,201,Note 5,Note 5,Note 5,,,,,,,,,FDD
,30,,,,121,101,101,Note 5,Note 5,Note 5,,,,,,,,,
n12,15,15,201,,201,201,,,,,,,,,,,,,FDD
,30,,,,101,101,,,,,,,,,,,,,
n13,15,,201,,201,,,,,,,,,,,,,,FDD
,30,,,,101,,,,,,,,,,,,,,
n14,15,,201,,201,,,,,,,,,,,,,,FDD
,30,,,,101,,,,,,,,,,,,,,
n18,15,,25,,251,251,,,,,,,,,,,,,FDD
,30,,,,101,101,,,,,,,,,,,,,
n20,15,,25,,201,202,202,,,,,,,,,,,,FDD
,30,,,,101,102,102,,,,,,,,,,,,
n24,15,,25,,50,,,,,,,,,,,,,,FDD
,30,,,,24,,,,,,,,,,,,,,
,60,,,,10,,,,,,,,,,,,,,
n25,15,,25,,501,501,501,501,481,401,401,Note 5,,,,,,,FDD
,30,,,,24,241,241,241,241,201,201,Note 5,,,,,,,
,60,,,,101,101,101,101,101,101,101,Note 5,,,,,,,
n26,15,15,25,,251,251,251,Note 5,Note 5,,,,,,,,,,FDD
,30,,,,121,121,121,Note 5,Note 5,,,,,,,,,,
n28,15,15,25,,251,251,251,251,251,,251,,,,,,,,FDD
,30,,,,101,101,101,101,101,,101,,,,,,,,
n30,15,,201,,201,,,,,,,,,,,,,,FDD
,30,,,,101,,,,,,,,,,,,,,
n31,15,58,58,,,,,,,,,,,,,,,,FDD
n34,15,,25,,50,75,,,,,,,,,,,,,TDD
,30,,,,24,36,,,,,,,,,,,,,
,60,,,,10,18,,,,,,,,,,,,,
n38,15,,25,,50,75,100,128,160,,216,,,,,,,,TDD
,30,,,,24,36,50,64,75,,100,,,,,,,,
,60,,,,10,18,24,30,36,,50,,,,,,,,
n39,15,,25,,50,75,100,128,160,180,216,,,,,,,,TDD
,30,,,,24,36,50,64,75,90,100,,,,,,,,
,60,,,,10,18,24,30,36,40,50,,,,,,,,
n40,15,,25,,50,75,100,128,160,,216,,270,,,,,,TDD
,30,,,,24,36,50,64,75,,100,,128,162,180,216,243,270,
,60,,,,10,18,24,30,36,,50,,64,75,90,100,120,135,
"n41, n90",15,,25,,50,75,100,128,160,180,216,240,270,,,,,,TDD
,30,,,,24,36,50,64,75,90,100,108,128,162,180,216,243,270,
,60,,,,10,18,24,30,36,40,50,54,64,75,90,100,120,135,
n48,15,,25,,50,75,100,,160,,216,,,,,,,,TDD
,30,,,,24,36,50,,75,,100,,,,,,,,
,60,,,,10,18,24,,36,,50,,,,,,,,
n50,15,,25,,50,75,100,,160,,216,,270,,,,,,TDD
,30,,,,24,36,50,,75,,100,,128,162,,Note 3,,,
,60,,,,10,18,24,,36,,50,,64,75,,Note 3,,,
n51,15,,25,,,,,,,,,,,,,,,,TDD
n53,15,,25,,50,,,,,,,,,,,,,,TDD
,30,,,,24,,,,,,,,,,,,,,
,60,,,,10,,,,,,,,,,,,,,
n54,15,,25,,,,,,,,,,,,,,,,TDD
n65,15,,25,,501,751,1001,,,,,,1281,,,,,,FDD
,30,,,,24,361,501,,,,,,641,,,,,,
,60,,,,101,18,24,,,,,,301,,,,,,
n66,15,,25,,501,751,1001,1281,160,1801,216,2401,,,,,,,FDD
,30,,,,24,361,501,641,751,901,1001,1081,,,,,,,
,60,,,,101,18,24,301,361,401,501,541,,,,,,,
n68,15,,25,,251,251,,,,,,,,,,,,,FDD
,30,,,,121,121,,,,,,,,,,,,,
n70,15,,25,,501,751,Note 3,Note 3,,,,,,,,,,,FDD
,30,,,,24,361,Note 3,Note 3,,,,,,,,,,,
,60,,,,101,18,Note 3,Note 3,,,,,,,,,,,
n71,15,,25,,251,201,201,201,"201,6","201,6",,,,,,,,,FDD
,30,,,,121,101,101,101,"101,6","101,6",,,,,,,,,
n72,15,58,58,,,,,,,,,,,,,,,,FDD
n74,15,,25,,251,251,251,,,,,,,,,,,,FDD
,30,,,,101,101,101,,,,,,,,,,,,
,60,,,,51,51,51,,,,,,,,,,,,
n77,15,,,,50,75,100,128,160,,216,,270,,,,,,TDD
,30,,,,24,36,50,64,75,,100,,128,162,180,216,243,270,
,60,,,,10,18,24,30,36,,50,,64,75,90,100,120,135,
n78,15,,,,50,75,100,128,160,,216,,270,,,,,,TDD
,30,,,,24,36,50,64,75,,100,,128,162,180,216,243,270,
,60,,,,10,18,24,30,36,,50,,64,75,90,100,120,135,
n79,15,,,,50,,100,,160,,216,,270,,,,,,TDD
,30,,,,24,,50,,75,,100,,128,162,180,216,243,270,
,60,,,,10,,24,,36,,50,,64,75,90,100,120,135,
n85,15,15,201,,201,201,,,,,,,,,,,,,FDD
,30,,,,101,101,,,,,,,,,,,,,
n87,15,58,58,,,,,,,,,,,,,,,,FDD
n88,15,58,58,,,,,,,,,,,,,,,,FDD
n91,15,,254,,"201,4",,,,,,,,,,,,,,FDD
n92,15,,25,,201,201,201,,,,,,,,,,,,FDD
,30,,,,101,101,101,,,,,,,,,,,,
n93,15,,254,,"251,4",,,,,,,,,,,,,,FDD
n94,15,,25,,251,201,201,,,,,,,,,,,,FDD
,30,,,,121,101,101,,,,,,,,,,,,
n100,15,15,25,,,,,,,,,,,,,,,,FDD
n101,15,,25,,50,,,,,,,,,,,,,,TDD
,30,,,,24,,,,,,,,,,,,,,
n104,15,,,,,,100,,,,216,,270,,,,,,TDD
,30,,,,,,50,,,,100,,128,162,180,216,243,270,
,60,,,,,,24,,,,50,,64,75,90,100,120,135,
n105,15,,25,,251,201,201,Note 5,Note 5,Note 5,,,,,,,,,FDD
,30,,,,121,101,101,Note 5,Note 5,Note 5,,,,,,,,,
n106,15,15,,,,,,,,,,,,,,,,,
n109,15,,25,,Note 7,Note 7,Note 7,Note 7,Note 7,,Note 7,,Note 7,,,,,,FDD
,30,,,,24,Note 7,Note 7,Note 7,Note 7,,Note 7,,Note 7,,,,,,
n110,15,15,,,,,,,,,,,,,,,,,FDD
"Note 1:UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.3.2-1).Note 2:For band n20; for 15 kHz SCS, in the case of 15 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 11 and in the case of 20 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 16; for 30 kHz SCS, in the case of 15 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 6 and in the case of 20 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 8; Note 3:For DL channel bandwidths that do not have symmetric UL channel bandwidth, highest valid UL configuration with lowest TX-RX separation (Table 5.4.4-1) shall be used unless otherwise specified.Note 4:For band n91 and n93, largest supported UL bandwidth configuration shall be used.Note 5:For this DL channel bandwidth, the UL configuration of the highest UL channel bandwidth specified in Table 5.3.6-1 and the nominal Tx-Rx frequency separation specified in Table 5.4.4-1 shall be used, i.e. FTX-RX as defined in clause 5.3.6 does not apply.Note 6:UEs supporting the optional symmetrical UL/DL bandwidths shall use this UL configuration. For UEs not supporting this uplink channel bandwidth, the UL configuration of the 20MHz UL channel bandwidth an UL configuration of LCRB=20(RBstart=0) and the nominal Tx-Rx frequency separation specified in Table 5.4.4-1 shall be used, i.e. FTX-RX as defined in clause 5.3.6 does not apply.Note 7:For this DL channel bandwidth, the UL configuration of 5MHz for 15kHz SCS and 10MHz for 30kHz shall be used.Note 8:In the case of 3 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 9 and in the case of 5 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 10.",,,,,,,,,,,,,,,,,,,
