Operating band / SCS / Channel bandwidth,,,,,,,,,,,,,
Operating Band,SCS kHz,3MHz(dBm),5MHz(dBm),7MHz(dBm),10MHz(dBm),15MHz(dBm),20MHz(dBm),25MHz(dBm),30 MHz (dBm),35 MHz (dBm),40MHz(dBm),45 MHz (dBm),50MHz(dBm)
n1,15,,-100.0,,-96.8,-95.0,-93.8,-92.7,-91.9,,-90.6,-90.1,-89.6
,30,,,,-97.1,-95.1,-94.0,-92.8,-92.0,,-90.7,-90.2,-89.7
,60,,,,-97.5,-95.4,-94.2,-93.0,-92.1,,-90.9,-90.3,-89.7
n2,15,,-98,,-94.8,-93,-91.8,-90.7,-84.111,-83.611,-81.511,,
,30,,,,-95.1,-93.1,-92,-90.8,-84.211,-83.711,-81.611,,
,60,,,,-95.5,-93.4,-92.2,-90.9,-84.311,-83.811,-81.711,,
n3,15,,-97.0,,-93.8,-92.0,-90.8,-89.7,-88.9,-86.2,-82.311,-81.311,-79.711
,30,,,,-94.1,-92.1,-91.0,-89.8,-89.0,-86.3,-82.411,-81.411,-79.811
,60,,,,-94.5,-92.4,-91.2,-90.0,-89.1,-86.4,-82.611,-81.511,-79.911
n5,15,-100.2,-98.0,-96.5,-94.8,-93.0,-86.811,-84.811,,,,,
,30,,,,-95.1,-93.1,-88.611,-84.911,,,,,
n71,15,,-98.0,,-94.8,-93.0,-91.8,-90.7,-89.9,-89.2,-88.6,,-81.511
,30,,,,-95.1,-93.1,-92.0,-90.8,-90.0,-89.3,-88.7,,-81.511
,60,,,,-95.5,-93.4,-92.2,-91.0,-90.1,-89.4,-88.9,,-81.511
n8,15,,-97.0,,-93.8,-91.411,-85.811,-83.611,-81.311,-78.411,,,
,30,,,,-94.1,-91.711,-87.211,-84.711,-81.411,-78.511,,,
n12,15,-99.2,-97.0,,-93.8,-84.011,,,,,,,
,30,,,,-94.1,-84.111,,,,,,,
n13,15,,-97.0,,-93.8,,,,,,,,
,30,,,,-94.1,,,,,,,,
n14,15,,-97.0,,-93.8,,,,,,,,
,30,,,,-94.1,,,,,,,,
n18,15,,-100.0,,-96.8,-95.0,,,,,,,
,30,,,,-97.1,-95.1,,,,,,,
n20,15,,-97.0,,-93.8,-91.011,-89.811,,,,,,
,30,,,,-94.1,-91.111,-90.011,,,,,,
n24,15,,-100.0,,-96.8,,,,,,,,
,30,,,,-97.1,,,,,,,,
,60,,,,-97.5,,,,,,,,
n25,15,,-96.5,,-93.3,-91.5,-90.3,-89.3,-82.211,-81.711,-79.511,-77.611,
,30,,,,-93.6,-91.6,-90.5,-89.4,-82.311,-81.811,-79.611,-77.711,
,60,,,,-94.0,-91.9,-90.7,-89.6,-82.411,-81.911,-79.711,-77.811,
n26,15,-99.7,-97.56,-96.06,-94.56,-92.76,-87.611,-84.511,-81.711,,,,
,30,,,,-94.86,-92.76,-87.711,-84.611,-81.811,,,,
n28,15,-100.2,-98.5,,-95.5,-93.5,-90.811,-84.211,-78.511,,-66.311,,
,30,,,,-95.6,-93.6,-91.011,-84.211,-78.611,,-66.311,,
n30,15,,-99.0,,-95.8,,,,,,,,
,30,,,,-96.1,,,,,,,,
n31,15,-95.7,-93.511,,,,,,,,,,
n65,15,,-99.5,,-96.3,-94.5,-93.3,,,,,,-89.2
,30,,,,-96.6,-94.6,-93.5,,,,,,-89.3
,60,,,,-97.0,-94.9,-93.7,,,,,,-89.4
n66,15,,-99.5,,-96.3,-94.5,-93.3,-92.2,-91.4,-90.7,-90.1,-89.6,
,30,,,,-96.6,-94.6,-93.5,-92.3,-91.5,-90.8,-90.2,-89.7,
,60,,,,-97.0,-94.9,-93.7,-92.5,-91.6,-90.9,-90.4,-89.8,
n68,15,,-98.5,,-95.5,-93.5,,,,,,,
,30,,,,-95.6,-93.6,,,,,,,
,15,,-100.0,,-96.8,-95.0,-93.8,-92.7,,,,,
n70,30,,,,-97.1,-95.1,-94.0,-92.8,,,,,
,60,,,,-97.5,-95.4,-94.2,-93.0,,,,,
n71,15,,-97.2,,-94.0,-91.6,-86.011,-74.811,"-82.59,11-70.611, 12-67.110,11","-80.79,11-68.011,12-64.010,11",,,
,30,,,,-94.3,-91.9,-87.411,-74.911,"-82.69,11-70.611, 12-67.210,11","-80.89,11-68.011,12-64.110,11",,,
n72,15,-95.7,-93.511,,,,,,,,,,
n74,15,,-99.53,,-96.33,-94.53,"-89.33,11",,,,,,
,30,,,,-96.63,-94.63,"-89.53,11",,,,,,
,60,,,,-97.03,-94.93,"-89.63,11",,,,,,
n85,15,-99.2,-97.0,,-93.8,-84.011,,,,,,,
,30,,,,-94.1,-84.111,,,,,,,
n87,15,-95.7,-93.511,,,,,,,,,,
n88,15,-95.7,-93.511,,,,,,,,,,
n100,15,-102.2,-100,,,,,,,,,,
n105,15,,-97.28,,-94.0,-91.6,-86.911,-85.111,-83.811,-82.511,,,
,30,,,,-94.3,-91.9,-87.911,-85.511,-84.311,-82.611,,,
n106,15,-99.2,,,,,,,,,,,
n110,15,-102.2,,,,,,,,,,,
NOTE 1:Four Rx antenna ports shall be the baseline for this operating band except for two Rx vehicular UE and two Rx antenna port XR UEs indicating UE capability supportOf2RxXR-r18. Four Rx antenna ports for (e)RedCap UE is not supported for this operating band.NOTE 2:The transmitter shall be set to PUMAX as defined in clause 6.2.4NOTE 3:The requirement is modified by -0.5 dB when the assigned NR channel bandwidth is confined within 1475.9 - 1510.9 MHz.NOTE 4:VoidNOTE 5:VoidNOTE 6:Values are modified by -0.5dB when carrier channel BW is between 865MHz and 894MHz.NOTE 7:Void.NOTE 8:DL channels overlapping the 612-617MHz range have 0.5dB added to the REFSENSNOTE 9:Applies to UEs that support a maximum uplink BW of 20 MHz in this band.NOTE 10:Applies to UEs that support optional symmetric UL/DL for this BW.NOTE 11:The requirement shall be met with uplink transmission bandwidth equal to but not less than that specified in Table 7.3.2-3.NOTE 12:Applies to UEs that support a maximum uplink BW of 25 MHz in this band.,,,,,,,,,,,,,
