Inter-band CA combination,"ΔRIB,c for NR bands (dB)8",
,Component band in order of bands in configuration9,
CA_n1-n28,-,0.2
CA_n1-n67,-,0.2
CA_n1-n71,-,0.3
CA_n1-n77,0.2,0.5
CA_n1-n78,-,0.5
CA_n1-n102,0.2,0.5
CA_n1-n105,-,0.3
CA_n2-n48,0.2,0.5
CA_n2-n66,0.3,0.3
CA_n2-n71,-,0.3
CA_n2-n77,0.2,0.5
CA_n2-n78,0.2,0.5
CA_n3-n41,-,04 / 0.55
CA_n3-n67,0.3,-
CA_n3-n74,0.3,0.5
CA_n3-n77,0.2,0.5
CA_n3-n78,0.2,0.5
CA_n3-n79,-,0.5
CA_n3-n102,-,0.5
CA_n3-n104,-,0.5
CA_n3-n105,-,0.3
CA_n5-n8,0.4,0.4
CA_n5-n12,0.5,0.3
CA_n5-n28,0.2,0.2
CA_n5-n41,0.2,-
CA_n5-n77,0.2,0.5
CA_n5-n78,0.2,0.5
CA_n5-n105,0.1,0.1
CA_n7-n8,-,0.2
CA_n7-n20,0.5,-
CA_n7-n40,-,0.5
CA_n7-n46,0.3,-
CA_n7-n66,0.5,0.5
CA_n7-n71,0.2,-
CA_n7-n77,-,0.5
CA_n7-n78,0.5,0.5
CA_n7-n79,-,0.5
CA_n7-n102,-,0.5
CA_n7-n105,-,0.2
CA_n8-n28,0.2,0.2
CA_n8-n77,0.2,0.5
CA_n8-n78,0.2,0.5
CA_n8-n79,-,0.5
CA_n8-n104,-,0.5
CA_n12-n66,0.5,-
CA_n12-n71,0.8,0.8
CA_n12-n77,0.2,0.5
CA_n12-n78,0.2,0.5
CA_n13-n77,0.2,0.5
CA_n14-n77,0.2,0.5
CA_n18-n77,-,0.5
CA_n18-n78,-,0.5
CA_n20-n40,-,0.5
CA_n20-n71,0.4,0.4
CA_n20-n77,-,0.5
CA_n20-n78,-,0.5
CA_n24-n48,0.2,0.5
CA_n24-n77,0.2,0.5
CA_n25-n48,0.2,0.5
CA_n25-n66,0.3,0.3
CA_n25-n71,-,0.3
CA_n25-n77,0.2,0.5
CA_n25-n78,0.2,0.5
CA_n25-n85,-,0.3
CA_n26-n28,0.2,0.2
CA_n26-n29,0.5,0.3
CA_n26-n48,-,0.5
CA_n26-n71,0.5,0.3
CA_n26-n77,-,0.5
CA_n26-n78,-,0.5
CA_n28-n71,0.7,0.7
CA_n28-n74,0.2,-
CA_n28-n75,0.2,-
CA_n28-n77,0.2,0.5
CA_n28-n78,0.2,0.5
CA_n28-n79,0.2,0.5
CA_n28-n102,0.2,0.5
CA_n28-n105,0.7,0.7
CA_n29-n48,0.2,0.5
CA_n29-n71,0.510,0.710
CA_n29-n77,0.2,0.5
CA_n28-n94,0.1,0.2
CA_n30-n66,0.5,0.4
CA_n30-n77,-,0.5
CA_n34-n39,0.3,0.3
CA_n34-n40,0.3,0.3
CA_n34-n79,-,0.5
CA_n34-n104,0.2,0.5
CA_n38-n66,0.5,0.5
CA_n38-n78,0.4,0.5
CA_n38-n79,0.5,0.5
CA_n39-n40,0.3,0.3
CA_n39-n41,0.2,0.2
CA_n39-n79,-,0.5
CA_n40-n75,0.4,-
CA_n40-n77,0.4,0.5
CA_n40-n78,0.4,0.5
CA_n40-n79,-,0.5
CA_n40-n105,-,0.2
CA_n41-n48,0.5,0.5
CA_n41-n66,0.56 / 17,0.5
CA_n41-n71,-,0.2
CA_n41-n771,-,0.5
CA_n41-n781,-,0.5
CA_n41-n79,0.5,0.5
CA_n41-n85,-,0.2
CA_n41-n104,0.5,0.5
CA_n46-n48,-,0.5
CA_n46-n77,-,0.5
CA_n46-n78,-,0.5
CA_n48-n53,0.53,-
CA_n48-n66,0.5,0.2
CA_n48-n70,0.5,0.2
CA_n48-n96,0.5,-
CA_n50-n77,-,0.5
CA_n50-n78,0.22 / 0.23,0.22 / 0.23
CA_n66-n77,0.2,0.5
CA_n66-n78,0.2,0.5
CA_n67-n78,0.2,0.5
CA_n70-n77,0.2,0.5
CA_n70-n78,0.2,0.5
CA_n71-n77,0.2,0.5
CA_n71-n78,0.2,0.5
CA_n71-n85,0.8,0.8
CA_n74-n77,-,0.5
CA_n74-n78,-,0.5
CA_n75-n78,-,0.5
CA_n76-n78,-,0.5
CA_n77-n85,0.5,0.2
CA_n77-n102,0.5,-
CA_n78-n92,0.5,-
CA_n78-n102,0.5,-
CA_n78-n104,0.7,0.8
CA_n78-n105,0.5,0.2
"NOTE 1:The requirements only apply when the sub-frame and Tx-Rx timings are synchronized between the component carriers.  In the absence of synchronization, the requirements are not within scope of these specifications.NOTE 2:Only applicable for UE supporting inter-band carrier aggregation with uplink in one NR band and without simultaneous Rx/Tx.NOTE 3:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2515 – 2690 MHz.NOTE 5:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 6:The requirement is applied for UE transmitting on the frequency range of 2545-2690 MHz.NOTE 7:The requirement is applied for UE transmitting on the frequency range of 2496-2545 MHzNOTE 8: “-” denotes ΔRIB,c = 0.NOTE 9:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1-n77 the band order from left to right is n1 and n77.NOTE 10: Not applicable to UEs indicating support of low NR band inter-band carrier aggregation only via switching featureSetCombinationLowBandSwitching-r19 for this band combination",,
