UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
n40,n3,2350,100,30,270 (RBstart=0),1877.5,5,1.2,>ACLR2
n40,n41,2350,100,30,270 (RBstart=3),2501,10,37.9,ACLR2
n41,n1,2546,100,30,270 (RBstart=0),2167.5,5,23.5,>ACLR2
n41,n3,2546,100,30,270 (RBstart=0),1877.5,5,3.9,>ACLR2
n41,n25,2546,100,30,270 (RBstart=0),1992.5,5,2.8,>ACLR2
n41,n40,2546,100,30,270 (RBstart=0),2395,5,38.2,ACLR2
n41,n66,2521,50,30,128 (RBstart=0),2197.5,5,7.7,>ACLR2
n41,n77,2640,100,30,270 (RBstart=3),3305,10,13.3,>ACLR2
n41,n39,2546,100,30,270 (RBstart=3),1917.5,5,6.7,>ACLR2
n77,n2,3350,100,30,270 (RBstart=0),1987.5,5,1.8,>ACLR2
n77,n7,3350,100,30,270 (RBstart=0),2687.5,5,9.0,>ACLR2
n77,n25,3350,100,30,270 (RBstart=0),1992.5,5,1.8,>ACLR2
n77,n30,3350,100,30,270 (RBstart=0),2357.5,5,1.8,>ACLR2
n77,n401,3350,100,30,270 (RBstart=0),2395,5,12.0,>ACLR2
n77,n401,3350,100,30,270 (RBstart=0),2350,100,2.2,>ACLR2
n77,n411,3350,100,30,270 (RBstart=0),2685,10,9.0,>ACLR2
n77,n411,3350,100,30,270 (RBstart=0),2640,100,9.0,>ACLR2
n77,n66,3350,100,30,270 (RBstart=0),2197.5,5,1.8,>ACLR2
n78,n1,3350,100,30,270 (RBstart=0),2167.5,5,2.7,>ACLR2
n78,n7,3350,100,30,270 (RBstart=0),2687.5,5,9.0,>ACLR2
n78,n401,3350,100,30,270 (RBstart=0),2395,10,9.0,>ACLR2
n78,n401,3350,100,30,270 (RBstart=0),2350,100,2.2,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4405,10,8,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4420,40,8,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4450,100,8,>ACLR2
n79,n783,4450,100,30,270 (RBstart=0),3795,10,8.6,>ACLR2
n79,n783,4450,100,30,270 (RBstart=0),3750,100,8.6,>ACLR2
NOTE 1:Applicable only when harmonic mixing MSD for this combination is not applied.NOTE 2:Void.NOTE 3:The requirements only apply for UEs supporting inter-band carrier aggregation with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.,,,,,,,,,
