NR Band combination for SUL,NR Band(Table 5.2-1),
CA_n41-n80,"n41, n80",
CA_n41-n81,"n41, n81",
CA_n41-n83,"n41, n83",
CA_n41-n95,"n41, n95",
CA_n41-n97,"n41, n97",
CA_n41-n98,"n41, n98",
CA_n78-n80,"n78, n80",
CA_n78-n81,"n78, n81",
CA_n78-n84,"n78, n84",
CA_n78-n89,"n78, n89",
CA_n79-n80,"n79, n80",
CA_n79-n83,"n79, n83",
CA_n79-n95,"n79, n95",
CA_n79-n97,"n79, n97",
CA_n79-n98,"n79, n98",
"NOTE 1:If a UE is configured with both NR UL and NR SUL carriers in a cell, the switching time between NR UL carrier and NR SUL carrier is according to either uplinkTxSwitchingPeriod-r16 parameter within UE capability IE ULTxSwitchingBandPair-r16 if reported, or switchingPeriodFor1T-r18 parameter within UE capability IE ULTxSwitchingBandPair-r18 or ULTxSwitchingBandPair-v1840 if reported, otherwise 0 us.NOTE 2:For UE supporting SUL band combination simultaneous Rx/Tx capability is mandatory.",,
