NR CA Band,NR Band(Table 5.2-1)
CA_n1-n3-n5-n7-n78,"n1, n3, n5, n7, n78"
CA_n1-n3-n5-n28-n78,"n1, n3, n5, n28, n78"
CA_n1-n3-n7-n8-n781,"n1, n3, n7, n8, n78"
CA_n1-n3-n7-n20-n67,"n1, n3, n7, n20, n67"
CA_n1-n3-n7-n20-n75,"n1, n3, n7, n20, n75"
CA_n1-n3-n7-n20-n78,"n1, n3, n7, n20, n78"
CA_n1-n3-n7-n26-n78,"n1, n3, n7, n26, n78"
CA_n1-n3-n7-n28-n38,"n1, n3, n7, n28, n38"
CA_n1-n3-n7-n28-n75,"n1, n3, n7, n28, n75"
CA_n1-n3-n7-n28-n78,"n1, n3, n7, n28, n78"
CA_n1-n3-n7-n40-n78,"n1, n3, n7, n40, n78"
CA_n1-n3-n7-n40-n105,"n1, n3, n7, n40, n105"
CA_n1-n3-n7-n67-n78,"n1, n3, n7, n67, n78"
CA_n1-n3-n7-n75-n78,"n1, n3, n7, n75, n78"
CA_n1-n3-n7-n78-n105,"n1, n3, n7, n78, n105"
CA_n1-n3-n8-n41-n78,"n1, n3, n8, n41, n78"
CA_n1-n3-n20-n41-n71,"n1, n3, n20, n41, n71"
CA_n1-n3-n20-n41-n77,"n1, n3, n20, n41, n77"
CA_n1-n3-n20-n41-n78,"n1, n3, n20, n41, n78"
CA_n1-n3-n20-n71-n78,"n1, n3, n20, n71, n78"
CA_n1-n3-n20-n75-n78,"n1, n3, n20, n75, n78"
CA_n1-n3-n28-n40-n77,"n1, n3, n28, n40, n77"
CA_n1-n3-n28-n41-n77,"n1, n3, n28, n41, n77"
CA_n1-n3-n28-n41-n79,"n1, n3, n28, n41, n79"
CA_n1-n3-n28-n75-n78,"n1, n3, n28, n75, n78"
CA_n1-n3-n28-n77-n79,"n1, n3, n28, n77, n79"
CA_n1-n3-n40-n78-n105,"n1, n3, n40, n78, n105"
CA_n1-n3-n41-n71-n77,"n1, n3, n41, n71, n77"
CA_n1-n3-n41-n71-n78,"n1, n3, n41, n71, n78"
CA_n1-n3-n41-n77-n79,"n1, n3, n41, n77, n79"
CA_n1-n5-n7-n40-n78,"n1, n5, n7, n40, n78"
CA_n1-n5-n7-n40-n105,"n1, n5, n7, n40, n105"
CA_n1-n5-n7-n78-n105,"n1, n5, n7, n78, n105"
CA_n1-n20-n41-n71-n78,"n1, n20, n41, n71, n78"
CA_n1-n5-n28-n78-n79,"n1, n5, n28, n78, n79"
CA_n1-n5-n40-n78-n105,"n1, n5, n40, n78, n105"
CA_n1-n7-n20-n67-n78,"n1, n7, n20, n67, n78"
CA_n1-n7-n20-n75-n78,"n1, n7, n20, n75, n78"
CA_n1-n7-n28-n75-n78,"n1, n7, n28, n75, n78"
CA_n1-n7-n40-n78-n105,"n1, n7, n40, n78, n105"
CA_n1-n28-n41-n77-n79,"n1, n28, n41, n77, n79"
CA_n2-n5-n30-n66-n77,"n2, n5, n30, n66, n77"
CA_n2-n5-n48-n66-n77,"n2, n5, n48, n66, n77"
CA_n2-n12-n30-n66-n77,"n2, n12, n30, n66, n77"
CA_n2-n14-n30-n66-n77,"n2, n14, n30, n66, n77"
CA_n2-n29-n30-n66-n77,"n2, n29, n30, n66, n77"
CA_n3-n7-n20-n67-n78,"n3, n7, n20, n67, n78"
CA_n3-n7-n20-n75-n78,"n3, n7, n20, n75, n78"
CA_n3-n7-n40-n78-n105,"n3, n7, n40, n78, n105"
CA_n3-n8-n39-n41-n79,"n3, n8, n39, n41, n79"
CA_n3-n20-n41-n71-n78,"n3, n20, n41, n71, n78"
CA_n3-n28-n41-n77-n79,"n3, n28, n41, n77, n79"
CA_n5-n7-n40-n78-n105,"n5, n7, n40, n78, n105"
NOTE 1:Applicable for UE supporting inter-band carrier aggregation with mandatory simultaneous Rx/Tx capability.,
