NR Band,Channel bandwidths for UL (MHz),Channel bandwidths for DL (MHz),Asymmetric channel bandwidth combination set,
n5,20,25,0,
n8,20,35,0,
,"10, 15, 20","25, 35",1,
,"10, 15, 20","25, 30, 35",2,
n24,10,5,0,
n25,40,45,0,
n26,20,"25, 30",0,
n283,3,5,1,
n66,"5, 10","20, 40",0,
,20,40,,
,"5, 10","20, 25, 30, 40",1,
,"20, 25, 30",40,,
,"5, 10, 15","20, 25, 30, 35, 40",2,
,"20, 25, 30",40,,
n70,"5, 10",15,0,
,"5, 10, 15","20, 25",,
,"5, 15",10,1,
,"10, 15",5,,
n71,5,10,0,
,10,15,,
,15,20,,
,5,10,1,
,10,15,,
,15,20,,
,20,35,,
,20,"25, 30, 35",2,
,25,"30, 35",3,
n911,10,5,0,
n921,5,"10, 15, 20",0,
,10,"15, 20",,
n931,10,5,0,
n941,5,"10, 15, 20",0,
,10,"15, 20",,
n105,20,"25, 30, 35",0,
n1091,5,"10, 15, 20, 25, 30, 40, 50",0,
,10,"15, 20, 25, 30, 40, 50",,
,15,"20, 25, 30, 40, 50",,
,20,"25, 30, 40, 50",,
,25,"30, 40, 50",,
,30,"40, 50",,
"NOTE 1:The assignment of the paired UL and DL channels are subject to a TX-RX separation as specified in clause 5.4.4.NOTE 2:As indicated for asymmetricBandwidthCombinationSet in TS 38.306 [15], it is mandatory for UEs to support asymmetric channel BCS0 if there is an asymmetric BCS0 defined for the band.NOTE 3: This BCS1 is limited to uplink 715-718 MHz and downlink 768-773 MHz.",,,,
