NR operating band,ΔFRaster(kHz),UplinkRange of NREF(First – <Step size> – Last),DownlinkRange of NREF(First – <Step size> – Last),Mandatory support
n1,10,384000 – <2> – 396000,422000 – <2> – 434000,Yes
n2,10,370000 – <2> – 382000,386000 – <2> – 398000,Yes
n3,10,342000 – <2> – 357000,361000 – <2> – 376000,Yes
n5,10,164800 – <2> – 169800,173800 – <2> – 178800,Yes
n7,10,500000 – <2> – 514000,524000 – <2> – 538000,
n8,10,176000 – <2> – 183000,185000 – <2> – 192000,
n12,10,139800 – <2> – 143200,145800 – <2> – 149200,
n13,10,155400 – <2> – 157400,149200 – <2> – 151200,
n14,10,157600 – <2> – 159600,151600 – <2> – 153600,
n18,10,163000 – <2> – 166000,172000 – <2> – 175000,
n20,10,166400 – <2> – 172400,158200 – <2> – 164200,
n24,10,325300 – <2> – 332100,305000 – <2> – 311800,
n25,10,370000 – <2> – 383000,386000 – <2> – 399000,Yes
n26,10,162800 – <2> – 169800,171800 – <2> – 178800,Yes
n28,10,140600 – <2> – 149600,151600 – <2> – 160600,Yes
n29,10,N/A,143400 – <2> – 145600,
n30,10,461000 – <2> – 463000,470000 – <2> – 472000,
n34,10,402000 – <2> – 405000,402000 – <2> – 405000,
n38,10,514000 – <2> – 524000,514000 – <2> – 524000,
n39,10,376000 – <2> – 384000,376000 – <2> – 384000,
n40,10,460000 – <2> – 480000,460000 – <2> – 480000,
n50,10,286400 – <2> – 303400,286400 – <2> – 303400,
n53,10,496700 – <2> – 499000,496700 – <2> – 499000,
n65,10,384000 – <2> – 402000,422000 – <2> – 440000,
n66,10,342000 – <2> – 356000,422000 – <2> – 440000,Yes
n67,10,N/A,147600 – <2> – 151600,
n68,10,139600 – <2> – 145600,150600 – <2> – 156600,
n70,10,339000 – <2> – 342000,399000 – <2> – 404000,
n71,10,132600 – <2> – 139600,123400 – <2> – 130400,Yes
n74,10,285400 – <2> – 294000,295000 – <2> – 303600,
n75,10,N/A,286400 – <2> – 303400,
n80,10,342000 – <2> – 357000,N/A,
n81,10,176000 – <2> – 183000,N/A,
n82,10,166400 – <2> – 172400,N/A,
n83,10,140600 – <2> –149600,N/A,
n84,10,384000 – <2> – 396000,N/A,
n85,10,139600 – <2> – 143200,145600 – <2> – 149200,Yes
n86,10,342000 – <2> – 356000,N/A,
n89,10,164800 – <2> – 169800,N/A,
n90,10,499200 – <2> – 538000,499200 – <2> – 538000,
n91,10,166400 – <2> – 172400,285400 – <2> – 286400,
n92,10,166400 – <2> – 172400,286400 – <2> – 303400,
n93,10,176000 – <2> – 183000,285400 – <2> – 286400,
n94,10,176000 – <2> – 183000,286400 – <2> – 303400,
n95,10,402000 – <2> – 405000,N/A,
n97,10,460000 – <2> – 480000,N/A,
n98,10,376000 – <2> – 384000,N/A,
n99,10,325300 – <2> – 332100,N/A,
n100,10,174880 – <2> – 176000,183880 – <2> – 185000,
n101,10,380000 – <2> – 382000,380000 – <2> – 382000,
n105,10,132600 – <2> – 140600,122400 – <2> – 130400,
n109,10,140600 – <2> – 146600,286400 – <2> – 303400,
NOTE 1:The channel numbers that designate carrier frequencies so close to the operating band edges that the carrier extends beyond the operating band edge shall not be used. These channel numbers shall also be such that the minimum guard band for each channel bandwidth and SCS specified in Table 5.3.3-1 are met for carriers located at the upper or lower edge of an operating band.,,,,
